date,jgb_20y_d,jgb_40y_d
1986-12-01,5.9,
1986-12-02,5.877,
1986-12-03,5.854,
1986-12-04,5.824,
1986-12-05,5.77,
1986-12-06,5.795,
1986-12-08,5.796,
1986-12-09,5.781,
1986-12-10,5.777,
1986-12-11,5.793,
1986-12-12,5.796,
1986-12-15,5.824,
1986-12-16,5.804,
1986-12-17,5.795,
1986-12-18,5.787,
1986-12-19,5.787,
1986-12-22,5.737,
1986-12-23,5.741,
1986-12-24,5.734,
1986-12-25,5.74,
1986-12-26,5.735,
1986-12-27,5.744,
1987-01-05,5.744,
1987-01-06,5.745,
1987-01-07,5.747,
1987-01-08,5.73,
1987-01-09,5.739,
1987-01-12,5.747,
1987-01-13,5.703,
1987-01-14,5.7,
1987-01-16,5.702,
1987-01-19,5.694,
1987-01-20,5.692,
1987-01-21,5.739,
1987-01-22,5.697,
1987-01-23,5.702,
1987-01-24,5.694,
1987-01-26,5.692,
1987-01-27,5.699,
1987-01-28,5.655,
1987-01-29,5.584,
1987-01-30,5.6,
1987-01-31,5.597,
1987-02-02,5.593,
1987-02-03,5.596,
1987-02-04,5.56,
1987-02-05,5.489,
1987-02-06,5.481,
1987-02-07,5.48,
1987-02-09,5.462,
1987-02-10,5.483,
1987-02-12,5.484,
1987-02-13,5.493,
1987-02-16,5.522,
1987-02-17,5.535,
1987-02-18,5.549,
1987-02-19,5.497,
1987-02-20,5.472,
1987-02-23,5.459,
1987-02-24,5.405,
1987-02-25,5.343,
1987-02-26,5.34,
1987-02-27,5.245,
1987-02-28,5.179,
1987-03-02,5.176,
1987-03-03,5.183,
1987-03-04,5.183,
1987-03-05,5.184,
1987-03-06,5.226,
1987-03-07,5.21,
1987-03-09,5.198,
1987-03-10,5.198,
1987-03-11,5.137,
1987-03-12,5.121,
1987-03-13,5.121,
1987-03-16,5.031,
1987-03-17,5.047,
1987-03-18,5.044,
1987-03-19,5.031,
1987-03-20,4.973,
1987-03-23,4.94,
1987-03-24,4.957,
1987-03-25,4.965,
1987-03-26,5.007,
1987-03-27,4.966,
1987-03-28,4.916,
1987-03-30,4.959,
1987-03-31,4.992,
1987-04-01,4.979,
1987-04-02,4.937,
1987-04-03,4.919,
1987-04-04,4.877,
1987-04-06,4.849,
1987-04-07,4.793,
1987-04-08,4.756,
1987-04-09,4.799,
1987-04-10,4.747,
1987-04-13,4.747,
1987-04-14,4.796,
1987-04-15,4.768,
1987-04-16,4.742,
1987-04-17,4.766,
1987-04-20,4.81,
1987-04-21,4.819,
1987-04-22,4.793,
1987-04-23,4.727,
1987-04-24,4.605,
1987-04-25,4.574,
1987-04-27,4.668,
1987-04-28,4.686,
1987-04-30,4.656,
1987-05-01,4.695,
1987-05-02,4.617,
1987-05-06,4.622,
1987-05-07,4.629,
1987-05-08,4.548,
1987-05-11,4.56,
1987-05-12,4.427,
1987-05-13,4.432,
1987-05-14,4.438,
1987-05-15,4.628,
1987-05-18,4.77,
1987-05-19,4.799,
1987-05-20,4.795,
1987-05-21,4.713,
1987-05-22,4.801,
1987-05-23,4.716,
1987-05-25,4.726,
1987-05-26,4.714,
1987-05-27,4.665,
1987-05-28,4.67,
1987-05-29,4.696,
1987-05-30,4.737,
1987-06-01,4.785,
1987-06-02,4.783,
1987-06-03,4.781,
1987-06-04,4.787,
1987-06-05,4.785,
1987-06-06,4.739,
1987-06-08,4.727,
1987-06-09,4.728,
1987-06-10,4.716,
1987-06-11,4.739,
1987-06-12,4.721,
1987-06-15,4.75,
1987-06-16,4.775,
1987-06-17,4.811,
1987-06-18,4.815,
1987-06-19,4.929,
1987-06-22,4.906,
1987-06-23,4.899,
1987-06-24,4.919,
1987-06-25,4.957,
1987-06-26,5.022,
1987-06-27,5.021,
1987-06-29,5.045,
1987-06-30,5.048,
1987-07-01,4.919,
1987-07-02,4.92,
1987-07-03,4.967,
1987-07-04,5.079,
1987-07-06,5.117,
1987-07-07,5.117,
1987-07-08,5.196,
1987-07-09,5.156,
1987-07-10,5.182,
1987-07-13,5.18,
1987-07-14,5.222,
1987-07-15,5.284,
1987-07-16,5.318,
1987-07-17,5.45,
1987-07-20,5.486,
1987-07-21,5.499,
1987-07-22,5.538,
1987-07-23,5.575,
1987-07-24,5.536,
1987-07-25,5.486,
1987-07-27,5.561,
1987-07-28,5.551,
1987-07-29,5.528,
1987-07-30,5.528,
1987-07-31,5.604,
1987-08-01,5.636,
1987-08-03,5.783,
1987-08-04,5.925,
1987-08-05,5.87,
1987-08-06,5.831,
1987-08-07,5.744,
1987-08-10,5.744,
1987-08-11,5.819,
1987-08-12,5.815,
1987-08-13,5.815,
1987-08-14,5.815,
1987-08-17,5.815,
1987-08-18,5.858,
1987-08-19,5.775,
1987-08-20,5.737,
1987-08-21,5.696,
1987-08-22,5.62,
1987-08-24,5.693,
1987-08-25,5.708,
1987-08-26,5.659,
1987-08-27,5.636,
1987-08-28,5.696,
1987-08-29,5.73,
1987-08-31,5.789,
1987-09-01,5.79,
1987-09-02,5.784,
1987-09-03,5.873,
1987-09-04,5.945,
1987-09-05,6.05,
1987-09-07,6.057,
1987-09-08,6.086,
1987-09-09,6.156,
1987-09-10,6.227,
1987-09-11,6.227,
1987-09-14,6.213,
1987-09-16,6.26,
1987-09-17,6.304,
1987-09-18,6.312,
1987-09-21,6.368,
1987-09-22,6.437,
1987-09-24,6.436,
1987-09-25,6.506,
1987-09-26,6.468,
1987-09-28,6.465,
1987-09-29,6.568,
1987-09-30,6.539,
1987-10-01,6.606,
1987-10-02,6.606,
1987-10-03,6.641,
1987-10-05,6.766,
1987-10-06,6.787,
1987-10-07,6.798,
1987-10-08,6.804,
1987-10-09,6.838,
1987-10-12,6.842,
1987-10-13,6.821,
1987-10-14,6.808,
1987-10-15,6.842,
1987-10-16,6.807,
1987-10-19,6.807,
1987-10-20,6.811,
1987-10-21,6.744,
1987-10-22,6.777,
1987-10-23,6.794,
1987-10-24,6.712,
1987-10-26,6.702,
1987-10-27,6.722,
1987-10-28,6.5,
1987-10-29,6.289,
1987-10-30,6.316,
1987-10-31,6.293,
1987-11-02,6.118,
1987-11-04,6.093,
1987-11-05,6.062,
1987-11-06,5.917,
1987-11-07,5.839,
1987-11-09,5.926,
1987-11-10,5.988,
1987-11-11,5.965,
1987-11-12,6.019,
1987-11-13,6.041,
1987-11-16,6.084,
1987-11-17,6.008,
1987-11-18,5.901,
1987-11-19,5.92,
1987-11-20,5.93,
1987-11-24,5.904,
1987-11-25,5.902,
1987-11-26,5.949,
1987-11-27,5.911,
1987-11-28,5.917,
1987-11-30,5.948,
1987-12-01,5.909,
1987-12-02,5.934,
1987-12-03,5.972,
1987-12-04,5.952,
1987-12-05,5.952,
1987-12-07,5.959,
1987-12-08,5.882,
1987-12-09,5.882,
1987-12-10,5.898,
1987-12-11,5.899,
1987-12-14,5.907,
1987-12-15,5.907,
1987-12-16,5.866,
1987-12-17,5.866,
1987-12-18,5.702,
1987-12-21,5.67,
1987-12-22,5.624,
1987-12-23,5.596,
1987-12-24,5.596,
1987-12-25,5.596,
1987-12-26,5.596,
1987-12-28,5.56,
1988-01-04,5.499,
1988-01-05,5.483,
1988-01-06,5.507,
1988-01-07,5.523,
1988-01-08,5.523,
1988-01-11,5.522,
1988-01-12,5.491,
1988-01-13,5.464,
1988-01-14,5.287,
1988-01-18,5.301,
1988-01-19,5.285,
1988-01-20,5.324,
1988-01-21,5.348,
1988-01-22,5.362,
1988-01-23,5.355,
1988-01-25,5.336,
1988-01-26,5.344,
1988-01-27,5.358,
1988-01-28,5.326,
1988-01-29,5.288,
1988-01-30,5.272,
1988-02-01,5.278,
1988-02-02,5.286,
1988-02-03,5.27,
1988-02-04,5.27,
1988-02-05,5.287,
1988-02-06,5.287,
1988-02-08,5.295,
1988-02-09,5.295,
1988-02-10,5.287,
1988-02-12,5.329,
1988-02-15,5.41,
1988-02-16,5.37,
1988-02-17,5.37,
1988-02-18,5.346,
1988-02-19,5.312,
1988-02-22,5.312,
1988-02-23,5.295,
1988-02-24,5.313,
1988-02-25,5.33,
1988-02-26,5.322,
1988-02-27,5.279,
1988-02-29,5.287,
1988-03-01,5.296,
1988-03-02,5.292,
1988-03-03,5.279,
1988-03-04,5.231,
1988-03-05,5.227,
1988-03-07,5.23,
1988-03-08,5.247,
1988-03-09,5.271,
1988-03-10,5.246,
1988-03-11,5.23,
1988-03-14,5.222,
1988-03-15,5.197,
1988-03-16,5.189,
1988-03-17,5.206,
1988-03-18,5.197,
1988-03-22,5.214,
1988-03-23,5.19,
1988-03-24,5.189,
1988-03-25,5.198,
1988-03-26,5.206,
1988-03-28,5.198,
1988-03-29,5.171,
1988-03-30,5.132,
1988-03-31,5.123,
1988-04-01,5.051,
1988-04-02,5.041,
1988-04-04,4.981,
1988-04-05,4.998,
1988-04-06,4.912,
1988-04-07,4.918,
1988-04-08,4.895,
1988-04-11,4.914,
1988-04-12,4.954,
1988-04-13,4.972,
1988-04-14,4.953,
1988-04-15,4.935,
1988-04-18,4.966,
1988-04-19,4.99,
1988-04-20,4.944,
1988-04-21,4.933,
1988-04-22,4.933,
1988-04-23,4.935,
1988-04-25,4.935,
1988-04-26,4.935,
1988-04-27,4.947,
1988-04-28,4.967,
1988-04-30,4.992,
1988-05-02,5.089,
1988-05-06,5.114,
1988-05-07,5.146,
1988-05-09,5.146,
1988-05-10,5.178,
1988-05-11,5.244,
1988-05-12,5.207,
1988-05-13,5.2,
1988-05-16,5.2,
1988-05-17,5.196,
1988-05-18,5.228,
1988-05-19,5.233,
1988-05-20,5.188,
1988-05-23,5.22,
1988-05-24,5.171,
1988-05-25,5.13,
1988-05-26,5.122,
1988-05-27,5.139,
1988-05-28,5.139,
1988-05-30,5.146,
1988-05-31,5.085,
1988-06-01,5.089,
1988-06-02,5.039,
1988-06-03,5.042,
1988-06-04,5.002,
1988-06-06,5.016,
1988-06-07,5.041,
1988-06-08,5.067,
1988-06-09,5.088,
1988-06-10,5.096,
1988-06-13,5.096,
1988-06-14,5.117,
1988-06-15,5.142,
1988-06-16,5.163,
1988-06-17,5.187,
1988-06-20,5.181,
1988-06-21,5.177,
1988-06-22,5.213,
1988-06-23,5.23,
1988-06-24,5.222,
1988-06-25,5.246,
1988-06-27,5.269,
1988-06-28,5.23,
1988-06-29,5.23,
1988-06-30,5.192,
1988-07-01,5.3,
1988-07-02,5.36,
1988-07-04,5.416,
1988-07-05,5.401,
1988-07-06,5.406,
1988-07-07,5.353,
1988-07-08,5.439,
1988-07-11,5.52,
1988-07-12,5.536,
1988-07-13,5.504,
1988-07-14,5.472,
1988-07-15,5.508,
1988-07-18,5.556,
1988-07-19,5.508,
1988-07-20,5.495,
1988-07-21,5.517,
1988-07-22,5.541,
1988-07-23,5.533,
1988-07-25,5.541,
1988-07-26,5.549,
1988-07-27,5.524,
1988-07-28,5.449,
1988-07-29,5.453,
1988-07-30,5.414,
1988-08-01,5.414,
1988-08-02,5.431,
1988-08-03,5.464,
1988-08-04,5.454,
1988-08-05,5.462,
1988-08-06,5.503,
1988-08-08,5.503,
1988-08-09,5.488,
1988-08-10,5.657,
1988-08-11,5.621,
1988-08-12,5.598,
1988-08-15,5.588,
1988-08-16,5.581,
1988-08-17,5.586,
1988-08-18,5.595,
1988-08-19,5.587,
1988-08-22,5.6,
1988-08-23,5.624,
1988-08-24,5.634,
1988-08-25,5.641,
1988-08-26,5.677,
1988-08-27,5.676,
1988-08-29,5.696,
1988-08-30,5.704,
1988-08-31,5.712,
1988-09-01,5.772,
1988-09-02,5.782,
1988-09-03,5.736,
1988-09-05,5.76,
1988-09-06,5.767,
1988-09-07,5.744,
1988-09-08,5.744,
1988-09-09,5.743,
1988-09-12,5.728,
1988-09-13,5.698,
1988-09-14,5.684,
1988-09-16,5.652,
1988-09-19,5.628,
1988-09-20,5.666,
1988-09-21,5.622,
1988-09-22,5.629,
1988-09-24,5.629,
1988-09-26,5.629,
1988-09-27,5.599,
1988-09-28,5.575,
1988-09-29,5.567,
1988-09-30,5.553,
1988-10-01,5.319,
1988-10-03,5.319,
1988-10-04,5.294,
1988-10-05,5.301,
1988-10-06,5.301,
1988-10-07,5.287,
1988-10-11,5.216,
1988-10-12,5.138,
1988-10-13,5.146,
1988-10-14,5.177,
1988-10-17,5.187,
1988-10-18,5.211,
1988-10-19,5.161,
1988-10-20,5.184,
1988-10-21,5.129,
1988-10-22,5.121,
1988-10-24,5.139,
1988-10-25,5.102,
1988-10-26,5.096,
1988-10-27,5.118,
1988-10-28,5.105,
1988-10-29,5.065,
1988-10-31,5.076,
1988-11-01,5.076,
1988-11-02,5.088,
1988-11-04,5.105,
1988-11-05,5.121,
1988-11-07,5.136,
1988-11-08,5.093,
1988-11-09,5.069,
1988-11-10,5.037,
1988-11-11,5.016,
1988-11-14,5.008,
1988-11-15,5.027,
1988-11-16,5.051,
1988-11-17,5.06,
1988-11-18,5.06,
1988-11-21,5.036,
1988-11-22,5.02,
1988-11-24,5.012,
1988-11-25,5.036,
1988-11-26,5.052,
1988-11-28,5.052,
1988-11-29,5.028,
1988-11-30,5.004,
1988-12-01,4.971,
1988-12-02,4.949,
1988-12-03,4.945,
1988-12-05,4.953,
1988-12-06,4.929,
1988-12-07,4.954,
1988-12-08,4.945,
1988-12-09,4.929,
1988-12-12,4.945,
1988-12-13,4.961,
1988-12-14,4.954,
1988-12-15,4.97,
1988-12-16,5.002,
1988-12-19,4.994,
1988-12-20,4.986,
1988-12-21,4.979,
1988-12-22,4.97,
1988-12-23,4.963,
1988-12-24,4.97,
1988-12-26,4.962,
1988-12-27,4.973,
1988-12-28,4.991,
1989-01-04,4.947,
1989-01-05,4.964,
1989-01-06,4.971,
1989-01-09,4.947,
1989-01-10,4.942,
1989-01-11,4.963,
1989-01-12,4.959,
1989-01-13,4.968,
1989-01-17,4.981,
1989-01-18,4.997,
1989-01-19,5.019,
1989-01-20,5.001,
1989-01-23,5.001,
