date,gilt_spot_30y_m,bund_spot_30y_m,jgb_spot_30y_m
2000-08-31,,5.5900,
2000-09-30,,5.9200,
2000-10-31,,5.8900,
2000-11-30,,5.7400,
2000-12-31,,5.7800,
2001-01-31,,5.7800,
2001-02-28,,5.7800,
2001-03-31,,5.7800,
2001-04-30,,5.9200,
2001-05-31,,6.0800,
2001-06-30,,5.9900,
2001-07-31,,5.8100,
2001-08-31,,5.8500,2.6393
2001-09-30,,6.0100,2.6356
2001-10-31,,5.6000,2.7569
2001-11-30,,5.4600,2.7675
2001-12-31,,5.6200,2.8842
2002-01-31,,5.4900,3.0325
2002-02-28,,5.6100,2.9668
2002-03-31,,5.8500,2.7957
2002-04-30,,5.8500,2.6967
2002-05-31,,5.7300,2.5907
2002-06-30,,5.5400,2.4589
2002-07-31,,5.5300,2.3867
2002-08-31,,5.3400,2.2427
2002-09-30,,5.2900,2.1555
2002-10-31,,5.5600,2.0798
2002-11-30,,5.4400,1.9335
2002-12-31,,5.2500,1.8517
2003-01-31,,5.0800,1.5288
2003-02-28,,5.1900,1.5111
2003-03-31,,5.3200,1.3086
2003-04-30,,5.3100,1.0928
2003-05-31,,4.9700,1.1336
2003-06-30,,5.1900,1.4265
2003-07-31,,5.3600,1.7913
2003-08-31,,5.2600,2.0733
2003-09-30,,5.2600,2.0890
2003-10-31,,5.4100,2.2935
2003-11-30,,5.3800,2.1363
2003-12-31,,5.2700,2.1705
2004-01-31,,5.3300,2.1865
2004-02-29,,5.2300,2.2144
2004-03-31,,5.1700,2.3227
2004-04-30,,5.3500,2.5209
2004-05-31,,5.3600,2.4888
2004-06-30,,5.3100,2.7030
2004-07-31,,5.2600,2.8841
2004-08-31,,5.1400,2.6397
2004-09-30,,5.0000,2.5402
2004-10-31,,4.9000,2.6402
2004-11-30,,4.7400,2.6026
2004-12-31,,4.6600,2.5549
2005-01-31,,4.3000,2.5155
2005-02-28,,4.4100,2.6010
2005-03-31,,4.3700,2.4360
2005-04-30,,4.2600,2.4204
2005-05-31,,4.1200,2.4726
2005-06-30,,3.9400,2.3930
2005-07-31,,3.9500,2.5687
2005-08-31,,3.8200,2.5544
2005-09-30,,3.8800,2.5577
2005-10-31,,4.0300,2.5764
2005-11-30,,4.0400,2.5540
2005-12-31,,3.8100,2.4694
2006-01-31,,3.9100,2.5389
2006-02-28,,3.8800,2.3554
2006-03-31,,4.1100,2.3399
2006-04-30,,4.3500,2.5630
2006-05-31,,4.3900,2.4727
2006-06-30,,4.4700,2.6232
2006-07-31,,4.3500,2.6780
2006-08-31,,4.1700,2.5349
2006-09-30,,3.9500,2.5761
2006-10-31,,3.9700,2.5791
2006-11-30,,3.9500,2.4662
2006-12-31,,4.1300,2.4361
2007-01-31,,4.2900,2.4969
2007-02-28,,4.1700,2.3892
2007-03-31,,4.3400,2.4543
2007-04-30,,4.4800,2.4146
2007-05-31,,4.6200,2.4484
2007-06-30,,4.7900,2.5656
2007-07-31,,4.6000,2.5495
2007-08-31,,4.7100,2.4860
2007-09-30,,4.7800,2.5652
2007-10-31,,4.6700,2.5980
2007-11-30,,4.7800,2.4219
2007-12-31,,4.7700,2.4514
2008-01-31,,4.8000,2.4753
2008-02-29,,4.8200,2.3808
2008-03-31,,4.9400,2.5128
2008-04-30,,4.9200,2.5644
2008-05-31,,5.1000,2.5811
2008-06-30,,5.0900,2.5076
2008-07-31,,4.8200,2.5289
2008-08-31,,4.6100,2.4268
2008-09-30,,4.9000,2.4059
2008-10-31,,4.4400,2.3750
2008-11-30,,3.8100,2.3042
2008-12-31,,3.7600,1.8906
2009-01-31,,4.0200,2.0748
2009-02-28,,4.0000,2.0950
2009-03-31,,4.1800,2.1531
2009-04-30,,4.0900,2.2566
2009-05-31,,4.6500,2.3517
2009-06-30,,4.5100,2.2935
2009-07-31,,4.3300,2.4285
2009-08-31,,4.3100,2.3400
2009-09-30,,4.2200,2.3082
2009-10-31,,4.2800,2.3581
2009-11-30,,4.2100,2.2558
2009-12-31,,4.3100,2.3693
2010-01-31,,4.1300,2.3858
2010-02-28,,4.0500,2.3950
2010-03-31,,4.0000,2.4102
2010-04-30,,3.8600,2.2619
2010-05-31,,3.5400,2.2234
2010-06-30,,3.4600,2.0413
2010-07-31,,3.5200,1.9344
2010-08-31,,2.7300,1.8676
2010-09-30,,2.9700,1.9414
2010-10-31,,3.1000,2.0985
2010-11-30,,3.2100,2.1896
2010-12-31,,3.4900,2.0895
2011-01-31,,3.6600,2.2332
2011-02-28,,3.6500,2.2119
2011-03-31,,3.9000,2.2842
2011-04-30,,3.8700,2.2478
2011-05-31,,3.7000,2.1765
2011-06-30,,3.9200,2.1413
2011-07-31,,3.5200,2.1384
2011-08-31,,3.3300,2.1238
2011-09-30,,2.8300,2.0101
2011-10-31,,3.0100,2.0605
2011-11-30,,3.0800,2.0512
2011-12-31,,2.4200,1.9726
2012-01-31,,2.6000,1.9837
2012-02-29,,2.5200,2.0110
2012-03-31,,2.5500,2.0163
2012-04-30,,2.5000,1.9851
2012-05-31,,1.8900,1.8963
2012-06-30,,2.4200,2.0087
2012-07-31,,2.3200,1.9311
2012-08-31,,2.2300,1.9969
2012-09-30,,2.3300,1.9862
2012-10-31,,2.4400,2.0478
2012-11-30,,2.3700,2.0403
2012-12-31,,2.2000,2.0653
2013-01-31,,2.4500,2.0809
2013-02-28,,2.3800,1.9165
2013-03-31,,2.2800,1.6374
2013-04-30,,2.1800,1.7295
2013-05-31,,2.4300,1.8311
2013-06-30,,2.5500,1.9213
2013-07-31,,2.5600,1.9132
2013-08-31,,2.7200,1.8614
2013-09-30,,2.6700,1.7985
2013-10-31,,2.7200,1.7427
2013-11-30,,2.7300,1.7584
2013-12-31,,2.8600,1.8207
2014-01-31,,2.5700,1.7353
2014-02-28,,2.6000,1.7491
2014-03-31,,2.5700,1.8074
2014-04-30,,2.5100,1.8075
2014-05-31,,2.3800,1.7871
2014-06-30,,2.3100,1.7660
2014-07-31,,2.1700,1.7739
2014-08-31,,1.8800,1.7171
2014-09-30,,2.0200,1.7064
2014-10-31,,1.9600,1.6848
2014-11-30,,1.8000,1.4999
2014-12-31,,1.5900,1.3351
2015-01-31,,1.1000,1.3800
2015-02-28,,1.0800,1.5070
2015-03-31,,0.7100,1.4227
2015-04-30,,0.9600,1.4290
2015-05-31,,1.1800,1.5473
2015-06-30,,1.6700,1.5254
2015-07-31,,1.4700,1.5052
2015-08-31,,1.4600,1.4995
2015-09-30,,1.4000,1.4671
2015-10-31,,1.2900,1.4173
2015-11-30,,1.3900,1.4483
2015-12-31,,1.5800,1.3517
2016-01-31,2.4433,1.1300,1.1576
2016-02-29,2.4127,0.8800,0.9576
2016-03-31,2.3732,0.9100,0.5864
2016-04-30,2.4742,1.1300,0.3755
2016-05-31,2.2876,1.0200,0.3348
2016-06-30,1.7869,0.4900,0.1489
2016-07-31,1.6282,0.4500,0.2858
2016-08-31,1.3222,0.5000,0.4359
2016-09-30,1.5916,0.4800,0.4760
2016-10-31,1.9183,0.9000,0.5294
2016-11-30,2.0471,0.8900,0.5892
2016-12-31,1.8960,1.0400,0.7319
2017-01-31,2.0665,1.3300,0.8385
2017-02-28,1.8296,1.1300,0.8145
2017-03-31,1.7944,1.2400,0.8644
2017-04-30,1.7936,1.2500,0.8082
2017-05-31,1.7629,1.2900,0.8313
2017-06-30,1.9307,1.3400,0.8706
2017-07-31,1.9356,1.4500,0.8936
2017-08-31,1.7727,1.2500,0.8491
2017-09-30,1.9661,1.3800,0.8856
2017-10-31,1.9446,1.3300,0.8847
2017-11-30,1.9216,1.2500,0.8475
2017-12-31,1.8055,1.3400,0.8283
2018-01-31,1.9470,1.3800,0.8306
2018-02-28,1.9054,1.3600,0.7807
2018-03-31,1.7064,1.2400,0.7578
2018-04-30,1.8335,1.3000,0.7640
2018-05-31,1.6993,1.1700,0.7403
2018-06-30,1.7511,1.1200,0.7353
2018-07-31,1.7866,1.1500,0.7567
2018-08-31,1.7962,1.1000,0.8507
2018-09-30,1.9470,1.1500,0.9064
2018-10-31,1.9039,1.1200,0.8940
2018-11-30,2.1530,1.0800,0.8396
2018-12-31,1.8677,0.9500,0.7389
2019-01-31,1.7596,0.8400,0.6613
2019-02-28,1.8560,0.8600,0.6153
2019-03-31,1.5885,0.6500,0.5194
2019-04-30,1.7182,0.7800,0.5601
2019-05-31,1.5259,0.5200,0.4638
2019-06-30,1.5356,0.3300,0.3715
2019-07-31,1.3964,0.2400,0.3608
2019-08-31,1.0707,-0.1700,0.1524
2019-09-30,1.0134,-0.0300,0.3700
2019-10-31,1.1686,0.1300,0.3926
2019-11-30,1.2315,0.1600,0.4099
2019-12-31,1.3488,0.3400,0.4137
2020-01-31,1.0571,0.1100,0.3707
2020-02-29,0.9683,-0.1600,0.2887
2020-03-31,0.8396,0.0100,0.4339
2020-04-30,0.5701,-0.0900,0.4356
2020-05-31,0.6059,0.0400,0.5058
2020-06-30,0.6646,-0.0200,0.5944
2020-07-31,0.6569,-0.1200,0.5342
2020-08-31,0.9433,0.1100,0.6039
2020-09-30,0.8070,-0.1100,0.5925
2020-10-31,0.8641,-0.2300,0.6314
2020-11-30,0.8938,-0.1700,0.6318
2020-12-31,0.7769,-0.1400,0.6429
