ym,r_star,pi_star_10y,i_star,provisional
2002-07,0.3576,0.5702,0.9278,False
2002-08,0.3366,0.5713,0.9078,False
2002-09,0.3277,0.5737,0.9014,False
2002-10,0.3212,0.5768,0.898,False
2002-11,0.3188,0.5782,0.897,False
2002-12,0.3401,0.56,0.9001,False
2003-01,0.382,0.5214,0.9034,False
2003-02,0.4105,0.4887,0.8992,False
2003-03,0.4244,0.4573,0.8818,False
2003-04,0.4344,0.4284,0.8629,False
2003-05,0.4455,0.4118,0.8573,False
2003-06,0.4618,0.4066,0.8685,False
2003-07,0.4797,0.403,0.8828,False
2003-08,0.4881,0.4017,0.8898,False
2003-09,0.473,0.4075,0.8804,False
2003-10,0.4438,0.4213,0.8651,False
2003-11,0.4287,0.4366,0.8653,False
2003-12,0.4333,0.4515,0.8848,False
2004-01,0.4436,0.4695,0.9132,False
2004-02,0.4541,0.4926,0.9466,False
2004-03,0.4677,0.5483,1.0161,False
2004-04,0.4821,0.6223,1.1045,False
2004-05,0.4892,0.6711,1.1602,False
2004-06,0.4887,0.6838,1.1725,False
2004-07,0.4872,0.692,1.1792,False
2004-08,0.4849,0.7031,1.188,False
2004-09,0.465,0.73,1.195,False
2004-10,0.4295,0.7654,1.195,False
2004-11,0.4115,0.7822,1.1937,False
2004-12,0.4178,0.7676,1.1854,False
2005-01,0.4291,0.7411,1.1703,False
2005-02,0.4344,0.7289,1.1633,False
2005-03,0.4317,0.7345,1.1662,False
2005-04,0.4269,0.7468,1.1736,False
2005-05,0.4242,0.7604,1.1845,False
2005-06,0.4323,0.772,1.2043,False
2005-07,0.4504,0.7853,1.2357,False
2005-08,0.4672,0.8013,1.2685,False
2005-09,0.478,0.8243,1.3023,False
2005-10,0.4881,0.8532,1.3413,False
2005-11,0.4986,0.876,1.3746,False
2005-12,0.5132,0.8893,1.4025,False
2006-01,0.5284,0.9001,1.4285,False
2006-02,0.5364,0.9151,1.4514,False
2006-03,0.5396,0.9714,1.511,False
2006-04,0.5418,1.0502,1.592,False
2006-05,0.5426,1.0921,1.6347,False
2006-06,0.5213,1.0909,1.6123,False
2006-07,0.4745,1.0876,1.5621,False
2006-08,0.4327,1.0823,1.515,False
2006-09,0.4022,1.0558,1.458,False
2006-10,0.374,1.0035,1.3775,False
2006-11,0.3624,0.9553,1.3177,False
2006-12,0.371,0.9096,1.2805,False
2007-01,0.3865,0.8668,1.2533,False
2007-02,0.3938,0.8502,1.244,False
2007-03,0.3923,0.8723,1.2646,False
2007-04,0.3885,0.9118,1.3003,False
2007-05,0.3824,0.9339,1.3163,False
2007-06,0.3565,0.9317,1.2881,False
2007-07,0.3074,0.9274,1.2347,False
2007-08,0.2633,0.9251,1.1884,False
2007-09,0.2357,0.9591,1.1948,False
2007-10,0.2107,1.0248,1.2356,False
2007-11,0.1845,1.0588,1.2433,False
2007-12,0.1466,1.0452,1.1918,False
2008-01,0.1063,1.0203,1.1267,False
2008-02,0.0837,1.0082,1.0919,False
2008-03,0.0766,1.0307,1.1073,False
2008-04,0.0724,1.0709,1.1433,False
2008-05,0.0653,1.0934,1.1588,False
2008-06,0.0436,1.0684,1.112,False
