ym,tp_10y_bp,tp_acm_10y_bp
2002-07,104.06,86.24
2002-08,87.13,68.79
2002-09,95.58,77.39
2002-10,64.33,45.76
2002-11,79.19,61.03
2002-12,64.83,46.69
2003-01,61.64,43.95
2003-02,60.73,42.95
2003-03,54.5,36.82
2003-04,40.3,23.22
2003-05,30.66,13.11
2003-06,54.09,37.21
2003-07,58.2,41.22
2003-08,115.32,99.57
2003-09,115.15,99.4
2003-10,115.59,100.21
2003-11,94.41,78.91
2003-12,100.59,85.55
2004-01,100.42,85.08
2004-02,83.45,68.51
2004-03,95.63,80.72
2004-04,97.36,82.48
2004-05,104.96,90.01
2004-06,128.37,114.5
2004-07,133.89,119.03
2004-08,99.04,84.84
2004-09,86.68,72.38
2004-10,84.17,69.71
2004-11,81.99,68.03
2004-12,81.41,67.57
2005-01,68.7,54.61
2005-02,80.09,66.35
2005-03,76.12,62.45
2005-04,62.52,49.18
2005-05,63.13,49.67
2005-06,56.38,42.67
2005-07,65.21,51.79
2005-08,72.9,59.61
2005-09,80.17,65.87
2005-10,87.66,73.67
2005-11,73.29,59.17
2005-12,78.18,65.58
2006-01,84.04,71.51
2006-02,91.81,80.73
2006-03,109.05,99.5
2006-04,121.44,112.69
2006-05,115.54,107.24
2006-06,117.38,108.74
2006-07,117.07,107.41
2006-08,89.87,78.72
2006-09,90.23,79.42
2006-10,93.08,83.37
2006-11,89.53,78.9
2006-12,90.09,79.39
2007-01,92.33,81.28
2007-02,83.2,71.47
2007-03,80.18,68.07
2007-04,77.32,66.27
2007-05,86.89,76.95
2007-06,93.32,83.59
2007-07,87.08,77.13
2007-08,76.99,65.28
2007-09,78.8,66.35
2007-10,76.41,63.73
2007-11,72.86,58.89
2007-12,76.44,61.83
2008-01,73.96,57.35
2008-02,70.91,53.81
2008-03,65.93,47.9
2008-04,79.87,63.84
2008-05,104.79,89.81
2008-06,94.07,78.22
2008-07,88.84,72.24
2008-08,80.03,62.76
2008-09,92.09,73.83
2008-10,113.48,94.14
2008-11,114.31,94.9
2008-12,101.53,81.65
2009-01,111.09,91.79
2009-02,111.22,91.87
2009-03,111.52,92.15
2009-04,112.4,92.72
2009-05,124.58,105.73
2009-06,108.4,89.34
2009-07,111.76,92.69
2009-08,102.59,92.1
2009-09,92.46,90.18
2009-10,94.18,101.12
2009-11,78.7,94.85
2009-12,68.85,94.03
2010-01,74.0,97.56
2010-02,73.46,98.25
2010-03,78.57,108.52
2010-04,75.26,104.76
2010-05,78.94,108.66
2010-06,66.33,86.06
2010-07,69.92,85.73
2010-08,64.26,78.73
2010-09,60.37,71.06
2010-10,57.02,63.54
2010-11,78.58,95.33
2010-12,69.63,89.03
2011-01,72.15,91.19
2011-02,75.13,98.22
2011-03,76.92,97.51
2011-04,77.53,95.12
2011-05,73.58,88.64
2011-06,69.2,81.74
2011-07,69.79,76.65
2011-08,66.52,71.05
2011-09,60.55,63.67
2011-10,62.48,65.82
2011-11,66.86,72.1
2011-12,63.44,64.34
2012-01,60.5,60.96
2012-02,58.47,60.12
2012-03,55.13,59.55
2012-04,52.18,50.26
2012-05,52.24,47.44
2012-06,45.3,37.14
2012-07,44.68,35.82
2012-08,43.03,34.28
2012-09,37.98,31.48
2012-10,35.51,30.62
2012-11,31.9,24.38
2012-12,38.62,40.69
2013-01,36.13,37.61
2013-02,31.02,31.71
2013-03,22.43,21.06
2013-04,22.46,22.52
2013-05,37.82,48.0
2013-06,38.07,49.95
2013-07,36.45,48.08
2013-08,33.46,41.87
2013-09,29.84,36.38
2013-10,27.86,28.29
2013-11,26.1,27.1
2013-12,31.15,40.17
2014-01,25.32,26.11
2014-02,21.13,21.07
2014-03,21.84,23.34
2014-04,23.58,20.7
2014-05,23.25,16.53
2014-06,19.58,9.57
2014-07,18.5,5.66
2014-08,15.2,-0.99
2014-09,14.51,1.59
2014-10,9.12,-10.12
2014-11,11.96,0.23
2014-12,2.6,-9.82
2015-01,-1.63,-19.18
2015-02,0.99,-14.51
2015-03,3.47,-6.15
2015-04,-1.32,-12.55
2015-05,3.56,-8.05
2015-06,4.58,-2.37
2015-07,3.33,-7.56
2015-08,2.36,-8.48
2015-09,0.91,-10.89
2015-10,-1.78,-16.02
2015-11,-0.58,-18.1
2015-12,-6.91,-27.27
2016-01,-11.12,-34.96
2016-02,-18.66,-53.45
2016-03,-4.12,-28.91
2016-04,-8.77,-26.87
2016-05,-8.49,-28.72
2016-06,-12.72,-42.09
2016-07,-11.93,-41.29
2016-08,-2.76,-27.98
2016-09,-3.57,-31.29
2016-10,-5.66,-34.96
2016-11,-2.04,-27.36
2016-12,-3.1,-28.23
2017-01,-1.83,-24.17
2017-02,-5.6,-27.88
2017-03,-7.71,-31.91
2017-04,-9.62,-37.29
2017-05,-7.66,-35.8
2017-06,-6.15,-34.97
2017-07,-9.29,-39.72
2017-08,-12.8,-43.6
2017-09,-12.36,-41.83
2017-10,-12.9,-39.1
2017-11,-14.44,-38.84
2017-12,-14.12,-38.4
2018-01,-10.38,-31.95
2018-02,-11.29,-33.01
2018-03,-12.68,-35.17
2018-04,-11.66,-33.57
2018-05,-12.95,-35.77
2018-06,-12.77,-35.4
2018-07,-12.56,-33.17
2018-08,-8.93,-28.35
2018-09,-8.27,-27.43
2018-10,-7.93,-26.45
2018-11,-7.88,-29.86
2018-12,-12.06,-36.37
2019-01,-10.03,-35.82
2019-02,-11.84,-35.49
2019-03,-14.68,-40.34
2019-04,-13.12,-38.38
2019-05,-15.23,-42.41
2019-06,-15.3,-42.49
2019-07,-17.08,-46.82
2019-08,-20.89,-50.95
2019-09,-20.47,-49.43
2019-10,-15.58,-45.69
2019-11,-13.13,-40.43
2019-12,-9.69,-32.83
2020-01,-9.28,-38.27
2020-02,-13.19,-44.47
2020-03,-0.1,-25.15
2020-04,-4.11,-32.48
2020-05,-3.04,-31.59
2020-06,-3.36,-32.52
2020-07,-2.35,-32.48
2020-08,-3.62,-32.07
2020-09,-4.12,-34.57
2020-10,-6.2,-37.05
2020-11,-8.56,-41.02
2020-12,-9.23,-41.9
2021-01,-4.23,-32.97
2021-02,0.94,-22.4
2021-03,-3.96,-27.69
2021-04,-4.31,-30.25
2021-05,-6.3,-34.47
2021-06,-7.03,-38.34
2021-07,-9.5,-42.75
2021-08,-9.18,-41.88
2021-09,-6.83,-35.75
2021-10,-5.25,-31.84
2021-11,-6.61,-36.04
2021-12,-5.7,-33.12
2022-01,-1.96,-25.16
2022-02,-4.28,-26.43
2022-03,-3.46,-23.25
2022-04,-6.1,-19.21
2022-05,-6.44,-22.64
2022-06,-9.59,-25.03
2022-07,-15.26,-39.34
2022-08,-15.51,-35.16
2022-09,-16.69,-31.95
2022-10,-17.26,-30.93
2022-11,-17.82,-27.36
2022-12,-3.85,-3.08
2023-01,13.16,23.83
2023-02,1.51,13.67
2023-03,-9.61,-6.7
2023-04,-4.56,-9.99
2023-05,-2.71,-4.22
2023-06,-3.36,-7.56
2023-07,10.15,14.6
2023-08,8.24,18.85
2023-09,14.48,34.04
2023-10,25.81,54.89
2023-11,0.77,20.48
2023-12,3.44,14.92
2024-01,6.33,18.54
2024-02,5.2,14.32
2024-03,8.21,13.27
2024-04,13.62,27.0
2024-05,21.53,35.2
2024-06,22.51,35.52
2024-07,20.87,26.0
2024-08,11.22,10.17
2024-09,7.69,2.86
2024-10,5.19,1.66
2024-11,10.19,9.61
2024-12,17.22,21.21
2025-01,22.23,27.8
2025-02,30.91,42.18
2025-03,38.8,54.32
2025-04,18.04,22.64
2025-05,33.95,29.72
2025-06,27.92,21.46
2025-07,25.56,19.78
2025-08,22.2,15.22
2025-09,23.15,22.71
2025-10,23.21,21.31
2025-11,27.13,28.62
2025-12,44.03,55.57
2026-01,50.66,72.49
2026-02,46.84,69.9
2026-03,56.24,88.66
2026-04,64.92,106.99
2026-05,66.96,116.12
2026-06,67.98,123.32
2026-07,64.07,124.14
