iso3,country,year,fx_reserves_usd_bn,gdp_usd_bn,reserves_pct_gdp,source
CHN,China,2025,3357.9,19626.2,17.1,IMF IL
JPN,Japan,2025,1180.5,4435.2,26.6,IMF IL
CHE,Switzerland,2025,914.7,1043.5,87.6,IMF IL
TWN,Taiwan,2025,602.5,920.0,65.5,CBC (manual)
IND,India,2025,552.9,3916.3,14.1,IMF IL
SAU,Saudi Arabia,2025,434.9,1276.9,34.1,IMF IL
HKG,Hong Kong,2025,427.6,427.3,100.1,IMF IL
KOR,Korea,2025,403.0,1872.4,21.5,IMF IL
SGP,Singapore,2025,397.0,603.9,65.7,IMF IL
RUS,Russia,2024,385.0,2185.8,17.6,IMF IL
BRA,Brazil,2025,310.1,2279.9,13.6,IMF IL
ARE,UAE,2025,277.8,571.6,48.6,IMF IL
THA,Thailand,2025,242.5,577.0,42.0,IMF IL
ISR,Israel,2025,224.8,610.8,36.8,IMF IL
MEX,Mexico,2025,219.6,1832.6,12.0,IMF IL
POL,Poland,2025,187.2,1035.6,18.1,IMF IL
GBR,United Kingdom,2025,123.8,4003.0,3.1,IMF IL
ITA,Italy,2025,52.6,2550.1,2.1,IMF IL
USA,United States,2025,38.6,30767.1,0.1,IMF IL
DEU,Germany,2025,37.4,5048.1,0.7,IMF IL
FRA,France,2025,33.4,3368.9,1.0,IMF IL
