date,usd_reserve_share_alloc_a
1980-12-31,68.6
1981-12-31,71.5
1982-12-31,70.5
1983-12-31,71.4
1984-12-31,70.1
1985-12-31,64.9
1986-12-31,67.1
1987-12-31,67.2
1988-12-31,64.9
1989-12-31,59.4505
1990-12-31,57.095
1991-12-31,58.4431
1992-12-31,62.4408
1993-12-31,62.675
1994-12-31,62.3044
1995-12-31,66.1074
1996-12-31,68.0351
1997-12-31,70.4723
1998-12-31,69.2807
1999-12-31,71.0139
2000-12-31,69.7403
2001-12-31,70.7837
2002-12-31,64.9392
2003-12-31,63.5349
2004-12-31,63.3229
2005-12-31,64.888
2006-12-31,63.6673
2007-12-31,62.6016
2008-12-31,62.8681
2009-12-31,62.1878
2010-12-31,61.9359
2011-12-31,62.5146
2012-12-31,61.8442
2013-12-31,61.7164
2014-12-31,62.6819
2015-12-31,64.154
2016-12-31,64.68
2017-12-31,62.7073
2018-12-31,62.065
2019-12-31,61.3203
2020-12-31,59.5283
2021-12-31,59.4025
2022-12-31,58.9518
2023-12-31,58.9796
2024-12-31,58.4082
2025-12-31,56.4173
