quarter,year,q,intervention_yen_trn,usdjpy_avg,provisional
1991Q2,1991,2,-0.0563,138.33,0
1991Q3,1991,3,0.0,136.48,0
1991Q4,1991,4,0.0,129.56,0
1992Q1,1992,1,-0.1346,128.56,0
1992Q2,1992,2,-0.5186,130.29,0
1992Q3,1992,3,-0.0638,124.88,0
1992Q4,1992,4,0.0,123.0,0
1993Q1,1993,1,0.0,120.79,0
1993Q2,1993,2,1.7113,109.89,0
1993Q3,1993,3,0.8467,105.6,0
1993Q4,1993,4,0.0,108.3,0
1994Q1,1994,1,0.5603,107.54,0
1994Q2,1994,2,0.8139,103.22,0
1994Q3,1994,3,0.3339,99.12,0
1994Q4,1994,4,0.3558,98.86,0
1995Q1,1995,1,1.7954,96.04,0
1995Q2,1995,2,0.6051,84.5,0
1995Q3,1995,3,2.5584,94.11,0
1995Q4,1995,4,0.0,101.44,0
1996Q1,1996,1,1.6037,105.71,0
1996Q2,1996,2,0.0,107.47,0
1996Q3,1996,3,0.0,109.0,0
1996Q4,1996,4,0.0,112.8,0
1997Q1,1997,1,0.0,120.98,0
1997Q2,1997,2,0.0,119.61,0
1997Q3,1997,3,0.0,117.88,0
1997Q4,1997,4,-1.0591,125.08,0
1998Q1,1998,1,0.0,128.12,0
1998Q2,1998,2,-3.047,135.83,0
1998Q3,1998,3,0.0,139.9,0
1998Q4,1998,4,0.0,119.42,0
1999Q1,1999,1,0.6563,116.66,0
1999Q2,1999,2,3.0392,120.83,0
1999Q3,1999,3,2.3876,113.27,0
1999Q4,1999,4,1.5579,104.41,0
2000Q1,2000,1,1.6442,106.96,0
2000Q2,2000,2,1.3854,106.71,0
2000Q3,2000,3,0.1435,107.61,0
2000Q4,2000,4,0.0,109.71,0
2001Q1,2001,1,0.0,118.16,0
2001Q2,2001,2,0.0,122.54,0
2001Q3,2001,3,3.2107,121.69,0
2001Q4,2001,4,0.0,123.3,0
2002Q1,2002,1,0.0,132.41,0
2002Q2,2002,2,4.0162,126.86,0
2002Q3,2002,3,0.0,119.2,0
2002Q4,2002,4,0.0,122.52,0
2003Q1,2003,1,2.3869,118.9,0
2003Q2,2003,2,4.6115,118.51,0
2003Q3,2003,3,7.5511,117.49,0
2003Q4,2003,4,5.8755,108.89,0
2004Q1,2004,1,14.8313,107.22,0
2004Q2,2004,2,0.0,109.76,0
2004Q3,2004,3,0.0,109.97,0
2004Q4,2004,4,0.0,105.74,0
2005Q1,2005,1,0.0,104.49,0
2005Q2,2005,2,0.0,107.56,0
2005Q3,2005,3,0.0,111.18,0
2005Q4,2005,4,0.0,117.33,0
2006Q1,2006,1,0.0,116.88,0
2006Q2,2006,2,0.0,114.34,0
2006Q3,2006,3,0.0,116.22,0
2006Q4,2006,4,0.0,117.75,0
2007Q1,2007,1,0.0,119.37,0
2007Q2,2007,2,0.0,120.83,0
2007Q3,2007,3,0.0,117.85,0
2007Q4,2007,4,0.0,113.13,0
2008Q1,2008,1,0.0,105.45,0
2008Q2,2008,2,0.0,104.58,0
2008Q3,2008,3,0.0,107.54,0
2008Q4,2008,4,0.0,96.15,0
2009Q1,2009,1,0.0,93.68,0
2009Q2,2009,2,0.0,97.29,0
2009Q3,2009,3,0.0,93.58,0
2009Q4,2009,4,0.0,89.79,0
2010Q1,2010,1,0.0,90.73,0
2010Q2,2010,2,0.0,92.15,0
2010Q3,2010,3,2.1249,85.74,0
2010Q4,2010,4,0.0,82.56,0
2011Q1,2011,1,0.6925,82.3,0
2011Q2,2011,2,0.0,81.59,0
2011Q3,2011,3,4.5129,77.69,0
2011Q4,2011,4,9.0917,77.31,0
2012Q1,2012,1,0.0,79.31,0
2012Q2,2012,2,0.0,80.04,0
2012Q3,2012,3,0.0,78.63,0
2012Q4,2012,4,0.0,81.06,0
2013Q1,2013,1,0.0,92.24,0
2013Q2,2013,2,0.0,98.82,0
2013Q3,2013,3,0.0,98.95,0
2013Q4,2013,4,0.0,100.27,0
2014Q1,2014,1,0.0,102.8,0
2014Q2,2014,2,0.0,102.11,0
2014Q3,2014,3,0.0,103.97,0
2014Q4,2014,4,0.0,114.28,0
2015Q1,2015,1,0.0,119.12,0
2015Q2,2015,2,0.0,121.48,0
2015Q3,2015,3,0.0,122.24,0
2015Q4,2015,4,0.0,121.41,0
2016Q1,2016,1,0.0,115.27,0
2016Q2,2016,2,0.0,107.99,0
2016Q3,2016,3,0.0,102.37,0
2016Q4,2016,4,0.0,109.41,0
2017Q1,2017,1,0.0,113.66,0
2017Q2,2017,2,0.0,111.22,0
2017Q3,2017,3,0.0,110.99,0
2017Q4,2017,4,0.0,112.88,0
2018Q1,2018,1,0.0,108.35,0
2018Q2,2018,2,0.0,109.17,0
2018Q3,2018,3,0.0,111.45,0
2018Q4,2018,4,0.0,112.86,0
2019Q1,2019,1,0.0,110.14,0
2019Q2,2019,2,0.0,109.88,0
2019Q3,2019,3,0.0,107.31,0
2019Q4,2019,4,0.0,108.68,0
2020Q1,2020,1,0.0,108.94,0
2020Q2,2020,2,0.0,107.51,0
2020Q3,2020,3,0.0,106.13,0
2020Q4,2020,4,0.0,104.47,0
2021Q1,2021,1,0.0,106.1,0
2021Q2,2021,2,0.0,109.41,0
2021Q3,2021,3,0.0,110.08,0
2021Q4,2021,4,0.0,113.69,0
2022Q1,2022,1,0.0,116.33,0
2022Q2,2022,2,0.0,129.86,0
2022Q3,2022,3,-2.8382,138.25,0
2022Q4,2022,4,-6.3498,141.52,0
2023Q1,2023,1,0.0,132.34,0
2023Q2,2023,2,0.0,137.54,0
2023Q3,2023,3,0.0,144.52,0
2023Q4,2023,4,0.0,148.03,0
2024Q1,2024,1,0.0,148.43,0
