ym,pi_star_10y
2002-07,0.5702
2002-08,0.5713
2002-09,0.5737
2002-10,0.5768
2002-11,0.5782
2002-12,0.56
2003-01,0.5214
2003-02,0.4887
2003-03,0.4573
2003-04,0.4284
2003-05,0.4118
2003-06,0.4066
2003-07,0.403
2003-08,0.4017
2003-09,0.4075
2003-10,0.4213
2003-11,0.4366
2003-12,0.4515
2004-01,0.4695
2004-02,0.4926
2004-03,0.5483
2004-04,0.6223
2004-05,0.6711
2004-06,0.6838
2004-07,0.692
2004-08,0.7031
2004-09,0.73
2004-10,0.7654
2004-11,0.7822
2004-12,0.7676
2005-01,0.7411
2005-02,0.7289
2005-03,0.7345
2005-04,0.7468
2005-05,0.7604
2005-06,0.772
2005-07,0.7853
2005-08,0.8013
2005-09,0.8243
2005-10,0.8532
2005-11,0.876
2005-12,0.8893
2006-01,0.9001
2006-02,0.9151
2006-03,0.9714
2006-04,1.0502
2006-05,1.0921
2006-06,1.0909
2006-07,1.0876
2006-08,1.0823
2006-09,1.0558
2006-10,1.0035
2006-11,0.9553
2006-12,0.9096
2007-01,0.8668
2007-02,0.8502
2007-03,0.8723
2007-04,0.9118
2007-05,0.9339
2007-06,0.9317
2007-07,0.9274
2007-08,0.9251
2007-09,0.9591
2007-10,1.0248
2007-11,1.0588
2007-12,1.0452
2008-01,1.0203
2008-02,1.0082
2008-03,1.0307
2008-04,1.0709
2008-05,1.0934
2008-06,1.0684
2008-07,1.0093
2008-08,0.9462
2008-09,0.8903
2008-10,0.828
2008-11,0.7644
2008-12,0.6777
2009-01,0.5887
2009-02,0.553
2009-03,0.5554
2009-04,0.5612
2009-05,0.5692
2009-06,0.5874
2009-07,0.6137
2009-08,0.6271
2009-09,0.6044
2009-10,0.5607
2009-11,0.538
2009-12,0.5386
2010-01,0.5403
2010-02,0.5427
2010-03,0.5678
2010-04,0.6095
2010-05,0.6326
2010-06,0.6246
2010-07,0.6063
2010-08,0.5881
2010-09,0.5707
2010-10,0.5529
2010-11,0.5452
2010-12,0.6007
2011-01,0.7058
2011-02,0.7667
2011-03,0.7875
2011-04,0.8015
2011-05,0.807
2011-06,0.8067
2011-07,0.8058
2011-08,0.8044
2011-09,0.7759
2011-10,0.7229
2011-11,0.6956
2011-12,0.7084
2012-01,0.7318
2012-02,0.7432
2012-03,0.7286
2012-04,0.7026
2012-05,0.6881
2012-06,0.7111
2012-07,0.7561
2012-08,0.7805
2012-09,0.7637
2012-10,0.7313
2012-11,0.7145
2012-12,0.7556
2013-01,0.838
2013-02,0.897
2013-03,0.9325
2013-04,0.9598
2013-05,0.9827
2013-06,0.9997
2013-07,1.0142
2013-08,1.0305
2013-09,1.0525
2013-10,1.0779
2013-11,1.0978
2013-12,1.1115
2014-01,1.1227
2014-02,1.1325
2014-03,1.1426
2014-04,1.152
2014-05,1.164
2014-06,1.1839
2014-07,1.2091
2014-08,1.2261
2014-09,1.234
2014-10,1.2399
2014-11,1.2422
2014-12,1.2301
2015-01,1.2053
2015-02,1.1863
2015-03,1.174
2015-04,1.1641
2015-05,1.1525
2015-06,1.1397
2015-07,1.1248
2015-08,1.1055
2015-09,1.0754
2015-10,1.0336
2015-11,0.9931
2015-12,0.9477
2016-01,0.9027
2016-02,0.8803
2016-03,0.8755
2016-04,0.873
2016-05,0.8684
2016-06,0.848
2016-07,0.8134
2016-08,0.7881
2016-09,0.7763
2016-10,0.7669
2016-11,0.7634
2016-12,0.7637
2017-01,0.7647
2017-02,0.766
2017-03,0.779
2017-04,0.8006
2017-05,0.8124
2017-06,0.8098
2017-07,0.8048
2017-08,0.802
2017-09,0.8086
2017-10,0.8233
2017-11,0.8372
2017-12,0.8507
2018-01,0.8636
2018-02,0.8686
2018-03,0.8684
2018-04,0.8678
2018-05,0.8669
2018-06,0.8627
2018-07,0.8558
2018-08,0.8521
2018-09,0.8543
2018-10,0.8584
2018-11,0.8605
2018-12,0.8581
2019-01,0.8536
2019-02,0.8516
2019-03,0.8535
2019-04,0.8571
2019-05,0.8591
2019-06,0.8588
2019-07,0.858
2019-08,0.8568
2019-09,0.8524
2019-10,0.8429
2019-11,0.8306
2019-12,0.8082
2020-01,0.7762
2020-02,0.7485
2020-03,0.7236
2020-04,0.7011
2020-05,0.6826
2020-06,0.6675
2020-07,0.6543
2020-08,0.6487
2020-09,0.6493
2020-10,0.6509
2020-11,0.6533
2020-12,0.6627
2021-01,0.6809
2021-02,0.6994
2021-03,0.7266
2021-04,0.757
2021-05,0.7767
2021-06,0.7822
2021-07,0.7857
2021-08,0.7916
2021-09,0.8123
2021-10,0.8512
2021-11,0.8935
2021-12,0.944
2022-01,1.0018
2022-02,1.0489
2022-03,1.0943
2022-04,1.1345
2022-05,1.1662
2022-06,1.1896
2022-07,1.2094
2022-08,1.2201
2022-09,1.224
2022-10,1.2268
2022-11,1.2278
2022-12,1.2272
2023-01,1.2262
2023-02,1.2257
2023-03,1.2422
2023-04,1.2768
2023-05,1.3116
2023-06,1.3421
2023-07,1.3728
2023-08,1.3895
2023-09,1.3928
2023-10,1.3946
2023-11,1.3979
2023-12,1.4181
2024-01,1.4527
2024-02,1.4776
2024-03,1.4908
2024-04,1.5006
2024-05,1.5102
2024-06,1.5197
2024-07,1.5291
2024-08,1.5387
2024-09,1.5481
2024-10,1.5581
2024-11,1.5691
2024-12,1.584
2025-01,1.6009
2025-02,1.6139
2025-03,1.6249
2025-04,1.634
2025-05,1.6425
2025-06,1.6499
2025-07,1.6568
2025-08,1.664
2025-09,1.6715
2025-10,1.6796
2025-11,1.6881
2025-12,1.6986
2026-01,1.7099
2026-02,1.719
2026-03,1.7274
2026-04,1.7348
2026-05,1.7414
2026-06,1.7414
2026-07,1.7414
