date,spread_bp
2026-01-02,139.0
2026-01-05,139.0
2026-01-06,139.0
2026-01-07,135.0
2026-01-08,136.0
2026-01-09,128.0
2026-01-12,129.0
2026-01-13,130.0
2026-01-14,128.0
2026-01-15,123.0
2026-01-16,124.0
2026-01-20,131.0
2026-01-21,127.0
2026-01-22,123.0
2026-01-23,122.0
2026-01-26,124.0
2026-01-27,130.0
2026-01-28,129.0
2026-01-29,132.0
2026-01-30,135.0
2026-02-02,133.0
2026-02-03,133.0
2026-02-04,134.0
2026-02-05,138.0
2026-02-06,135.0
2026-02-09,137.0
2026-02-10,133.0
2026-02-11,130.0
2026-02-12,125.0
2026-02-13,129.0
2026-02-17,125.0
2026-02-18,124.0
2026-02-19,123.0
2026-02-20,124.0
2026-02-23,127.0
2026-02-24,127.0
2026-02-25,125.0
2026-02-26,125.0
2026-02-27,126.0
2026-03-02,123.0
2026-03-03,119.0
2026-03-04,118.0
2026-03-05,117.0
2026-03-06,121.0
2026-03-09,116.0
2026-03-10,121.0
2026-03-11,122.0
2026-03-12,112.0
2026-03-13,117.0
2026-03-16,118.0
2026-03-17,117.0
2026-03-18,112.0
2026-03-19,104.0
2026-03-20,108.0
2026-03-23,108.0
2026-03-24,104.0
2026-03-25,105.0
2026-03-26,97.0
2026-03-27,110.0
2026-03-30,109.0
2026-03-31,109.0
2026-04-01,110.0
2026-04-02,109.0
2026-04-03,107.0
2026-04-06,105.0
2026-04-07,109.0
2026-04-08,110.0
2026-04-09,112.0
2026-04-10,110.0
2026-04-13,112.0
2026-04-14,111.0
2026-04-15,113.0
2026-04-16,115.0
2026-04-17,117.0
2026-04-20,116.0
2026-04-21,111.0
2026-04-22,111.0
2026-04-23,109.0
2026-04-24,113.0
2026-04-27,116.0
2026-04-28,110.0
2026-04-29,106.0
2026-04-30,110.0
2026-05-01,109.0
2026-05-04,107.0
2026-05-05,105.0
2026-05-06,107.0
2026-05-07,105.0
2026-05-08,105.0
2026-05-11,103.0
2026-05-12,103.0
2026-05-13,105.0
2026-05-14,102.0
2026-05-15,103.0
2026-05-18,107.0
2026-05-19,105.0
2026-05-20,107.0
2026-05-21,102.0
2026-05-22,94.0
2026-05-26,102.0
2026-05-27,101.0
2026-05-28,99.0
2026-05-29,101.0
2026-06-01,94.0
2026-06-02,92.0
2026-06-03,91.0
2026-06-04,92.0
2026-06-05,84.0
2026-06-08,88.0
2026-06-09,88.0
2026-06-10,90.0
2026-06-11,90.0
2026-06-12,88.0
2026-06-15,90.0
2026-06-16,88.0
2026-06-17,73.0
2026-06-18,71.0
2026-06-22,71.0
2026-06-23,78.0
2026-06-24,75.0
2026-06-25,77.0
2026-06-26,80.0
2026-06-29,76.0
2026-06-30,77.0
2026-07-01,80.0
2026-07-02,84.0
2026-07-06,86.0
2026-07-07,86.0
2026-07-08,85.0
2026-07-09,89.0
2026-07-10,85.0
2026-07-13,84.0
2026-07-14,90.0
2026-07-15,95.0
2026-07-16,93.0
2026-07-17,88.0
2026-07-20,90.0
2026-07-21,87.0
2026-07-22,84.0
2026-07-23,80.0
2026-07-24,83.0
2026-07-27,81.0
2026-07-28,83.0
2026-07-29,98.0
2026-07-30,98.0
