ym,tp10_bp,kind
2015-01,-26.47,actual
2015-02,-5.55,actual
2015-03,-3.38,actual
2015-04,14.88,actual
2015-05,24.99,actual
2015-06,48.91,actual
2015-07,25.04,actual
2015-08,26.55,actual
2015-09,20.46,actual
2015-10,18.34,actual
2015-11,13.18,actual
2015-12,11.20,actual
2016-01,-2.03,actual
2016-02,-24.55,actual
2016-03,-16.98,actual
2016-04,-18.65,actual
2016-05,-28.76,actual
2016-06,-51.42,actual
2016-07,-61.68,actual
2016-08,-61.86,actual
2016-09,-52.42,actual
2016-10,-27.74,actual
2016-11,13.54,actual
2016-12,18.65,actual
2017-01,17.94,actual
2017-02,1.79,actual
2017-03,-0.19,actual
2017-04,-8.66,actual
2017-05,-20.41,actual
2017-06,-16.81,actual
2017-07,-12.47,actual
2017-08,-32.54,actual
2017-09,-21.05,actual
2017-10,-26.08,actual
2017-11,-35.30,actual
2017-12,-47.13,actual
2018-01,-34.23,actual
2018-02,-20.41,actual
2018-03,-40.73,actual
2018-04,-34.15,actual
2018-05,-41.43,actual
2018-06,-38.01,actual
2018-07,-36.93,actual
2018-08,-45.25,actual
2018-09,-34.53,actual
2018-10,-21.86,actual
2018-11,-37.49,actual
2018-12,-53.07,actual
2019-01,-58.95,actual
2019-02,-51.79,actual
2019-03,-70.83,actual
2019-04,-55.70,actual
2019-05,-81.44,actual
2019-06,-81.05,actual
2019-07,-91.93,actual
2019-08,-127.79,actual
2019-09,-114.54,actual
2019-10,-103.80,actual
2019-11,-99.62,actual
2019-12,-77.48,actual
2020-01,-110.77,actual
2020-02,-127.08,actual
2020-03,-118.46,actual
2020-04,-127.80,actual
2020-05,-123.42,actual
2020-06,-121.16,actual
2020-07,-135.53,actual
2020-08,-109.46,actual
2020-09,-116.09,actual
2020-10,-90.02,actual
2020-11,-95.26,actual
2020-12,-79.78,actual
2021-01,-51.83,actual
2021-02,-10.01,actual
2021-03,30.25,actual
2021-04,17.04,actual
2021-05,14.17,actual
2021-06,-26.09,actual
2021-07,-48.05,actual
2021-08,-47.60,actual
2021-09,-30.11,actual
2021-10,-46.85,actual
2021-11,-70.95,actual
2021-12,-66.64,actual
2022-01,-64.54,actual
2022-02,-77.98,actual
2022-03,-84.60,actual
2022-04,-38.10,actual
2022-05,-37.34,actual
2022-06,-33.42,actual
2022-07,-86.32,actual
2022-08,-74.50,actual
2022-09,-50.28,actual
2022-10,-19.36,actual
2022-11,-73.91,actual
2022-12,-56.96,actual
2023-01,-78.96,actual
2023-02,-48.41,actual
2023-03,-72.03,actual
2023-04,-73.16,actual
2023-05,-67.94,actual
2023-06,-75.74,actual
2023-07,-62.32,actual
2023-08,-50.88,actual
2023-09,15.20,actual
2023-10,40.58,actual
2023-11,5.70,actual
2023-12,-33.45,actual
2024-01,-20.37,actual
2024-02,-15.70,actual
2024-03,-26.29,actual
2024-04,-3.45,actual
2024-05,0.63,actual
2024-06,-12.28,actual
2024-07,-11.29,actual
2024-08,-12.60,actual
2024-09,-11.07,actual
2024-10,16.37,actual
2024-11,8.39,actual
2024-12,48.07,actual
2025-01,49.02,actual
2025-02,26.14,actual
2025-03,37.11,actual
2025-04,59.40,actual
2025-05,74.01,actual
2025-06,62.46,actual
2025-07,63.39,actual
2025-08,77.62,actual
2025-09,61.46,actual
2025-10,56.67,actual
2025-11,58.64,actual
2025-12,75.47,actual
2026-01,76.84,actual
2026-02,59.97,actual
2026-03,65.62,actual
2026-04,72.10,actual
2026-05,66.69,actual
2026-06,51.30,actual
2026-07,77.32,actual
2026-08,77.32,assumed
2026-09,92.28,assumed
2026-10,107.24,assumed
2026-11,122.20,assumed
2026-12,121.33,assumed
2027-01,120.47,assumed
2027-02,119.60,assumed
2027-03,118.74,assumed
2027-04,117.87,assumed
2027-05,117.01,assumed
2027-06,116.14,assumed
2027-07,115.28,assumed
2027-08,114.41,assumed
2027-09,113.54,assumed
2027-10,112.68,assumed
2027-11,111.81,assumed
2027-12,110.95,assumed
2028-01,110.08,assumed
2028-02,109.22,assumed
2028-03,108.35,assumed
2028-04,107.48,assumed
2028-05,106.62,assumed
2028-06,105.75,assumed
2028-07,104.89,assumed
2028-08,104.02,assumed
2028-09,103.16,assumed
2028-10,102.29,assumed
2028-11,101.43,assumed
2028-12,100.56,assumed
2029-01,99.69,assumed
2029-02,98.83,assumed
2029-03,97.96,assumed
2029-04,97.10,assumed
2029-05,96.23,assumed
2029-06,95.37,assumed
2029-07,94.50,assumed
