ym,main_pct,alt_pct,kind
2023-01,1.618,1.618,actual
2023-02,1.427,1.427,actual
2023-03,1.323,1.323,actual
2023-04,1.298,1.298,actual
2023-05,1.331,1.331,actual
2023-06,1.323,1.323,actual
2023-07,1.514,1.514,actual
2023-08,1.660,1.660,actual
2023-09,1.701,1.701,actual
2023-10,1.921,1.921,actual
2023-11,1.741,1.741,actual
2023-12,1.726,1.726,actual
2024-01,1.857,1.857,actual
2024-02,1.786,1.786,actual
2024-03,1.842,1.842,actual
2024-04,1.986,1.986,actual
2024-05,2.244,2.244,actual
2024-06,2.242,2.242,actual
2024-07,2.284,2.284,actual
2024-08,2.215,2.215,actual
2024-09,2.203,2.203,actual
2024-10,2.307,2.307,actual
2024-11,2.358,2.358,actual
2024-12,2.349,2.349,actual
2025-01,2.387,2.387,actual
2025-02,2.433,2.433,actual
2025-03,2.583,2.583,actual
2025-04,2.808,2.808,actual
2025-05,3.059,3.059,actual
2025-06,3.022,3.022,actual
2025-07,3.284,3.284,actual
2025-08,3.384,3.384,actual
2025-09,3.321,3.321,actual
2025-10,3.368,3.368,actual
2025-11,3.626,3.626,actual
2025-12,3.643,3.643,actual
2026-01,3.895,3.895,actual
2026-02,3.612,3.612,actual
2026-03,3.924,3.924,actual
2026-04,4.010,4.010,actual
2026-05,4.186,4.186,actual
2026-06,4.200,4.200,actual
2026-07,4.335,4.335,actual
2026-08,4.335,4.335,forecast
2026-09,4.390,4.394,forecast
2026-10,4.449,4.440,forecast
2026-11,4.495,4.487,forecast
2026-12,4.472,4.455,forecast
2027-01,4.461,4.432,forecast
2027-02,4.421,4.409,forecast
2027-03,4.382,4.386,forecast
2027-04,4.342,4.354,forecast
2027-05,4.302,4.323,forecast
2027-06,4.262,4.295,forecast
2027-07,4.223,4.264,forecast
2027-08,4.183,4.232,forecast
2027-09,4.143,4.201,forecast
2027-10,4.103,4.169,forecast
2027-11,4.064,4.138,forecast
2027-12,4.024,4.106,forecast
2028-01,3.984,4.067,forecast
2028-02,3.944,4.027,forecast
2028-03,3.905,3.987,forecast
2028-04,3.865,3.947,forecast
2028-05,3.825,3.908,forecast
2028-06,3.823,3.905,forecast
2028-07,3.821,3.903,forecast
2028-08,3.819,3.901,forecast
2028-09,3.817,3.899,forecast
2028-10,3.815,3.897,forecast
2028-11,3.812,3.895,forecast
2028-12,3.810,3.893,forecast
2029-01,3.808,3.891,forecast
2029-02,3.806,3.889,forecast
2029-03,3.804,3.887,forecast
2029-04,3.802,3.885,forecast
2029-05,3.800,3.882,forecast
2029-06,3.798,3.880,forecast
2029-07,3.796,3.878,forecast
