date,eur_observed,eur_cer
1975-12-31,8.30,11.27
1976-12-31,8.76,11.17
1977-12-31,10.15,11.73
1978-12-31,11.85,12.32
1979-12-31,13.65,13.39
1980-12-31,18.22,19.42
1981-12-31,15.34,18.50
1982-12-31,14.68,18.44
1983-12-31,13.38,18.96
1984-12-31,13.91,21.64
1985-12-31,16.47,21.34
1986-12-31,16.15,17.96
1987-12-31,16.06,15.57
1988-12-31,17.25,18.30
1989-12-31,20.55,20.72
1990-12-31,20.61,19.19
1991-12-31,20.04,19.00
1992-12-31,16.78,16.56
1993-12-31,16.96,17.83
1994-12-31,17.56,17.07
1995-12-31,16.74,15.15
1996-12-31,15.39,14.77
1997-12-31,14.44,15.50
1998-12-31,14.12,14.45
1999-12-31,12.69,14.80
2000-12-31,17.54,21.54
2001-12-31,18.41,23.31
2002-12-31,22.92,25.40
2003-12-31,23.13,22.51
2004-12-31,23.14,21.33
2005-12-31,21.89,22.29
2006-12-31,22.62,21.26
2007-12-31,23.32,20.16
2008-12-31,23.42,20.98
2009-12-31,24.05,21.00
2010-12-31,22.91,21.28
2011-12-31,21.73,20.69
2012-12-31,21.45,20.36
2013-12-31,21.47,19.54
2014-12-31,20.46,20.39
2015-12-31,19.40,20.92
2016-12-31,18.93,20.80
2017-12-31,19.80,19.85
2018-12-31,20.03,20.73
2019-12-31,19.82,20.93
2020-12-31,20.56,20.41
2021-12-31,19.82,20.83
2022-12-31,19.73,21.38
2023-12-31,19.21,20.24
2024-12-31,18.91,20.71
2025-12-31,20.38,20.38
