date,jpy_unadj,cad_unadj,aud_unadj,cny_unadj
1975-12-31,0.54,,,
1976-12-31,0.74,,,
1977-12-31,1.26,,,
1978-12-31,2.65,,,
1979-12-31,2.99,,,
1980-12-31,4.55,,,
1981-12-31,4.31,,,
1982-12-31,4.73,,,
1983-12-31,4.97,,,
1984-12-31,5.71,,,
1985-12-31,7.85,,,
1986-12-31,7.78,,,
1987-12-31,7.66,,,
1988-12-31,7.95,,,
1989-12-31,7.77,,,
1990-12-31,8.11,,,
1991-12-31,8.73,,,
1992-12-31,7.76,,,
1993-12-31,7.88,,,
1994-12-31,8.06,,,
1995-12-31,6.66,,,
1996-12-31,5.84,,,
1997-12-31,5.17,,,
1998-12-31,5.28,,,
1999-12-31,5.41,,,
2000-12-31,6.56,,,
2001-12-31,5.40,,,
2002-12-31,5.60,,,
2003-12-31,6.13,,,
2004-12-31,5.65,,,
2005-12-31,4.80,,,
2006-12-31,4.50,,,
2007-12-31,4.17,,,
2008-12-31,4.26,,,
2009-12-31,3.35,,,
2010-12-31,4.09,,,
2011-12-31,4.09,,,
2012-12-31,4.31,2.09,1.67,
2013-12-31,4.09,2.34,1.90,
2014-12-31,4.08,2.30,1.80,
2015-12-31,3.90,2.09,1.83,
2016-12-31,3.98,2.13,1.87,1.00
2017-12-31,4.78,2.12,1.97,1.23
2018-12-31,5.09,1.84,1.74,1.96
2019-12-31,5.82,1.89,1.84,2.03
2020-12-31,6.04,2.12,1.98,2.32
2021-12-31,5.50,2.43,2.01,2.85
2022-12-31,5.44,2.49,2.24,2.55
2023-12-31,5.44,2.51,2.09,2.34
2024-12-31,5.64,2.84,2.04,2.07
2025-12-31,5.84,2.50,2.02,1.95
