date,jpy_observed
1980-12-31,4.55
1981-12-31,4.31
1982-12-31,4.73
1983-12-31,4.97
1984-12-31,5.71
1985-12-31,7.85
1986-12-31,7.78
1987-12-31,7.66
1988-12-31,7.95
1989-12-31,7.77
1990-12-31,8.11
1991-12-31,8.73
1992-12-31,7.76
1993-12-31,7.88
1994-12-31,8.06
1995-12-31,6.66
1996-12-31,5.84
1997-12-31,5.17
1998-12-31,5.28
1999-12-31,5.41
2000-12-31,6.56
2001-12-31,5.4
2002-12-31,5.6
2003-12-31,6.13
2004-12-31,5.65
2005-12-31,4.8
2006-12-31,4.5
2007-12-31,4.17
2008-12-31,4.26
2009-12-31,3.35
2010-12-31,4.09
2011-12-31,4.09
2012-12-31,4.31
2013-12-31,4.09
2014-12-31,4.08
2015-12-31,3.9
2016-12-31,3.98
2017-12-31,4.78
2018-12-31,5.09
2019-12-31,5.82
2020-12-31,6.04
2021-12-31,5.5
2022-12-31,5.44
2023-12-31,5.44
2024-12-31,5.64
2025-12-31,5.84
