date,usd_observed,usd_cer
1975-12-31,79.36,74.46
1976-12-31,79.58,74.87
1977-12-31,79.03,74.88
1978-12-31,76.45,74.69
1979-12-31,73.43,71.02
1980-12-31,67.26,63.06
1981-12-31,70.42,64.24
1982-12-31,69.57,61.95
1983-12-31,70.44,61.21
1984-12-31,69.52,57.48
1985-12-31,64.93,57.18
1986-12-31,66.51,63.5
1987-12-31,66.18,67.55
1988-12-31,63.77,63.46
1989-12-31,60.47,59.95
1990-12-31,58.87,60.83
1991-12-31,59.54,61.75
1992-12-31,64.37,65.32
1993-12-31,64.04,64.5
1994-12-31,63.43,66.02
1995-12-31,63.22,66.28
1996-12-31,65.74,67.58
1997-12-31,66.79,66.71
1998-12-31,66.25,67.29
1999-12-31,67.69,67.49
2000-12-31,69.74,67.81
2001-12-31,70.78,67.22
2002-12-31,64.94,64.24
2003-12-31,63.54,66.46
2004-12-31,63.32,67.67
2005-12-31,64.88,66.32
2006-12-31,63.68,67.08
2007-12-31,62.61,67.81
2008-12-31,62.86,66.69
2009-12-31,62.18,66.57
2010-12-31,61.94,65.42
2011-12-31,62.51,65.55
2012-12-31,61.85,65.94
2013-12-31,61.72,65.92
2014-12-31,62.68,64.53
2015-12-31,64.16,64.09
2016-12-31,64.67,63.73
2017-12-31,62.7,64.16
2018-12-31,62.07,62.61
2019-12-31,61.33,61.92
2020-12-31,59.54,61.73
2021-12-31,59.4,60.18
2022-12-31,58.95,57.98
2023-12-31,58.98,58.45
2024-12-31,58.4,56.56
2025-12-31,56.42,56.42
