date,usd_netaccum
1981-12-31,0.667
1982-12-31,-2.189
1983-12-31,-0.848
1984-12-31,-3.195
1985-12-31,-0.281
1986-12-31,5.868
1987-12-31,4.278
1988-12-31,-4.012
1989-12-31,-3.693
1990-12-31,0.779
1991-12-31,0.812
1992-12-31,3.624
1993-12-31,-0.558
1994-12-31,1.429
1995-12-31,0.588
1996-12-31,1.344
1997-12-31,-0.831
1998-12-31,0.61
1999-12-31,1.703
2000-12-31,-1.605
2001-12-31,-0.262
2002-12-31,-2.819
2003-12-31,2.133
2004-12-31,1.27
2005-12-31,-1.326
2006-12-31,0.793
2007-12-31,0.84
2008-12-31,-0.909
2009-12-31,0.12
2010-12-31,-1.173
2011-12-31,0.239
2012-12-31,-0.52
2013-12-31,-0.161
2014-12-31,-1.433
2015-12-31,-0.421
2016-12-31,-0.366
2017-12-31,0.282
2018-12-31,-1.559
2019-12-31,-0.809
2020-12-31,-0.2
2021-12-31,-1.558
2022-12-31,-2.214
2023-12-31,0.4
2024-12-31,-1.917
2025-12-31,-0.138
