redemption_fy,below_zero,b0_025,b025_100,b100_plus,total
2026,11.1987,31.0725,10.8353,1.3134,54.4199
2027,2.4675,51.6531,8.5062,5.4333,68.0601
2028,13.3232,19.9239,18.0707,3.5019,54.8197
2029,9.0252,15.4319,19.3997,8.2054,52.0622
2030,0.5792,27.0206,10.7015,6.8506,45.1519
2031,0.3113,12.6257,23.3989,2.3764,38.7123
2032,0.3138,2.0333,39.2645,3.5179,45.1295
2033,0.0529,0.8675,20.4522,12.4136,33.7862
2034,0.0889,1.2080,5.2145,16.1601,22.6715
2035,0.0071,0.7445,6.6903,7.0378,14.4797
2036,0.0168,2.5710,41.6828,45.8187,90.0893
