ym,phase,base_case,case_2_0,accelerated
2022-01,actual,-0.021,,
2022-02,actual,-0.012,,
2022-03,actual,-0.02,,
2022-04,actual,-0.021,,
2022-05,actual,-0.026,,
2022-06,actual,-0.04,,
2022-07,actual,-0.01,,
2022-08,actual,-0.041,,
2022-09,actual,-0.073,,
2022-10,actual,-0.062,,
2022-11,actual,-0.079,,
2022-12,actual,-0.022,,
2023-01,actual,-0.014,,
2023-02,actual,-0.011,,
2023-03,actual,-0.03,,
2023-04,actual,-0.073,,
2023-05,actual,-0.071,,
2023-06,actual,-0.077,,
2023-07,actual,-0.061,,
2023-08,actual,-0.056,,
2023-09,actual,-0.062,,
2023-10,actual,-0.02,,
2023-11,actual,-0.022,,
2023-12,actual,-0.039,,
2024-01,actual,-0.011,,
2024-02,actual,-0.005,,
2024-03,actual,0.074,,
2024-04,actual,0.076,,
2024-05,actual,0.077,,
2024-06,actual,0.076,,
2024-07,actual,0.079,,
2024-08,actual,0.227,,
2024-09,actual,0.225,,
2024-10,actual,0.227,,
2024-11,actual,0.227,,
2024-12,actual,0.227,,
2025-01,actual,0.477,,
2025-02,actual,0.477,,
2025-03,actual,0.476,,
2025-04,actual,0.476,,
2025-05,actual,0.476,,
2025-06,actual,0.477,,
2025-07,actual,0.478,,
2025-08,actual,0.477,,
2025-09,actual,0.477,,
2025-10,actual,0.477,,
2025-11,actual,0.477,,
2025-12,actual,0.727,,
2026-01,actual,0.727,,
2026-02,actual,0.727,,
2026-03,actual,0.727,,
2026-04,actual,0.727,,
2026-05,actual,0.727,,
2026-06,actual,0.976,,
2026-07,actual,0.979,0.979,0.979
2026-08,forecast,1.0,1.0,1.0
2026-09,forecast,1.0,1.25,1.0
2026-10,forecast,1.25,1.25,1.25
2026-11,forecast,1.25,1.25,1.25
2026-12,forecast,1.25,1.25,1.25
2027-01,forecast,1.25,1.25,1.5
2027-02,forecast,1.25,1.25,1.5
2027-03,forecast,1.5,1.5,1.5
2027-04,forecast,1.5,1.5,1.75
2027-05,forecast,1.5,1.5,1.75
2027-06,forecast,1.5,1.5,1.75
2027-07,forecast,1.5,1.75,2.0
2027-08,forecast,1.5,1.75,2.0
2027-09,forecast,1.5,1.75,2.0
2027-10,forecast,1.5,1.75,2.25
2027-11,forecast,1.5,1.75,2.25
2027-12,forecast,1.5,2.0,2.25
2028-01,forecast,1.5,2.0,2.5
2028-02,forecast,1.5,2.0,2.5
2028-03,forecast,1.5,2.0,2.5
2028-04,forecast,1.5,2.0,2.5
2028-05,forecast,1.5,2.0,2.5
2028-06,forecast,1.5,2.0,2.5
2028-07,forecast,1.5,2.0,2.5
2028-08,forecast,1.5,2.0,2.5
2028-09,forecast,1.5,2.0,2.5
2028-10,forecast,1.5,2.0,2.5
2028-11,forecast,1.5,2.0,2.5
2028-12,forecast,1.5,2.0,2.5
2029-01,forecast,1.5,2.0,2.5
2029-02,forecast,1.5,2.0,2.5
2029-03,forecast,1.5,2.0,2.5
2029-04,forecast,1.5,2.0,2.5
2029-05,forecast,1.5,2.0,2.5
2029-06,forecast,1.5,2.0,2.5
2029-07,forecast,1.5,2.0,2.5
