ym,phase,base_case,case_2_0,accelerated
2022-01,actual,0.7885608054202746,,
2022-02,actual,0.8910820465929516,,
2022-03,actual,0.931946331541048,,
2022-04,actual,0.9797205705574388,,
2022-05,actual,1.0414268725398572,,
2022-06,actual,1.238099103517198,,
2022-07,actual,1.2182485953873363,,
2022-08,actual,1.219138181010306,,
2022-09,actual,1.4061745917090422,,
2022-10,actual,1.4461864458087563,,
2022-11,actual,1.5320545117947542,,
2022-12,actual,1.6033728601449917,,
2023-01,actual,1.6180892511550875,,
2023-02,actual,1.426551543852127,,
2023-03,actual,1.322587458543838,,
2023-04,actual,1.2982918249465722,,
2023-05,actual,1.3308982852909528,,
2023-06,actual,1.3233171413857263,,
2023-07,actual,1.5138970160486178,,
2023-08,actual,1.6594538274316797,,
2023-09,actual,1.701183397405854,,
2023-10,actual,1.9213042370870723,,
2023-11,actual,1.741422570015141,,
2023-12,actual,1.7255406142984546,,
2024-01,actual,1.857020794802436,,
2024-02,actual,1.7864172824759064,,
2024-03,actual,1.8416004667020962,,
2024-04,actual,1.9863314415412456,,
2024-05,actual,2.244154610420764,,
2024-06,actual,2.2420045502006563,,
2024-07,actual,2.283620525545568,,
2024-08,actual,2.214816274245739,,
2024-09,actual,2.203014430744738,,
2024-10,actual,2.3071483346703987,,
2024-11,actual,2.357470082879949,,
2024-12,actual,2.348498595037725,,
2025-01,actual,2.387108217805025,,
2025-02,actual,2.4332893015674504,,
2025-03,actual,2.5831059713281412,,
2025-04,actual,2.8075176727823346,,
2025-05,actual,3.0586288746512533,,
2025-06,actual,3.0217305740554066,,
2025-07,actual,3.284190895745967,,
2025-08,actual,3.383867190727964,,
2025-09,actual,3.321197083365155,,
2025-10,actual,3.3675764433915347,,
2025-11,actual,3.626073101134623,,
2025-12,actual,3.643074108317692,,
2026-01,actual,3.8952511840026984,,
2026-02,actual,3.612219698811063,,
2026-03,actual,3.923964139237944,,
2026-04,actual,4.009987030156125,,
2026-05,actual,4.185851895260136,,
2026-06,actual,4.199775871911436,,
2026-07,actual,4.334591758876213,4.334591758876213,4.334591758876213
2026-08,forecast,4.334591758876213,4.334591758876213,4.334591758876213
2026-09,forecast,4.389488678407606,4.402241006908966,4.4108250985862565
2026-10,forecast,4.448517105957183,4.457472624678202,4.4832661693816
2026-11,forecast,4.495160995536658,4.512700605934969,4.5557036036644725
2026-12,forecast,4.471917489903856,4.5086613958068575,4.587665410224277
2027-01,forecast,4.461055324517163,4.512835289100789,4.619256228528831
2027-02,forecast,4.421291059465336,4.516995852797389,4.6508749869075805
2027-03,forecast,4.381537492172064,4.521208383924071,4.682504443044886
2027-04,forecast,4.3417789696334,4.517120755828747,4.714459101309004
2027-05,forecast,4.302024484716034,4.5130371653547225,4.737792435845602
2027-06,forecast,4.262266115319772,4.513117927225871,4.765290122727373
2027-07,forecast,4.222511783698968,4.509034490048407,4.78866488023206
2027-08,forecast,4.182757909966732,4.496367419082223,4.803414734276499
2027-09,forecast,4.143000720138659,4.483697032020198,4.818161272225099
2027-10,forecast,4.103248076181602,4.471031190829192,4.832953625716243
2027-11,forecast,4.063491335217432,4.458361252631072,4.839116520851455
2027-12,forecast,4.023738693767091,4.445695413946781,4.845283515500498
2028-01,forecast,3.983986041955656,4.42477563059631,4.851780657160651
2028-02,forecast,3.9442247604681295,4.403847217569746,4.84968507746742
2028-03,forecast,3.904470886735894,4.382926212298473,4.847596905529481
2028-04,forecast,3.864712514904917,4.362000708928459,4.8455042354928
2028-05,forecast,3.824958185718828,4.341079248203333,4.843415608101008
2028-06,forecast,3.8228654928436905,4.338986555328196,4.84132291522587
2028-07,forecast,3.820776837744012,4.336897900228518,4.839234260126193
2028-08,forecast,3.818688640532902,4.334809703017408,4.837146062915083
2028-09,forecast,3.816596977064657,4.332718039549163,4.835054399446838
2028-10,forecast,3.814509854462053,4.330630916946558,4.832967276844233
2028-11,forecast,3.8124190953469768,4.328540157831483,4.830876517729157
2028-12,forecast,3.8103333976251257,4.326454460109631,4.828790820007306
2029-01,forecast,3.808248138691754,4.32436920117626,4.8267055610739344
2029-02,forecast,3.806149550161052,4.322270612645558,4.824606972543233
2029-03,forecast,3.8040619742932087,4.320183036777714,4.822519396675389
2029-04,forecast,3.80196943302177,4.318090495506276,4.820426855403951
2029-05,forecast,3.799880004975127,4.3160010674596325,4.818337427357307
2029-06,forecast,3.797666030318659,4.313787092803164,4.81612345270084
2029-07,forecast,3.7954520556621913,4.311573118146696,4.813909478044371
