fy,policy_rate,eff_rate,interest_bill,phase
2015,0.0452,0.9752,9.0999,actual
2016,-0.0544,0.9308,8.8269,actual
2017,-0.0612,0.8835,8.6011,actual
2018,-0.062,0.8505,8.4301,actual
2019,-0.0558,0.8143,8.2127,actual
2020,-0.0427,0.7267,7.9335,actual
2021,-0.0313,0.6823,7.7401,actual
2022,-0.0357,0.652,7.66,actual
2023,-0.0352,0.6587,7.9151,actual
2024,0.2392,0.7217,8.8899,actual
2025,0.5602,0.8455,10.6182,actual
2026,1.1174,1.0558,13.4408,projection
2027,1.7708,1.3604,17.5709,projection
2028,2.0,1.6308,21.3003,projection
