date,japan,uk,france,italy,us
2001-01-31,,,,5.7658,
2001-02-28,,,,5.8025,
2001-03-31,,,,5.7975,
2001-04-30,,,,5.8167,
2001-05-31,,,,5.8008,
2001-06-30,4.7352,,,5.785,
2001-07-31,,,,5.825,
2001-08-31,,,,5.7992,
2001-09-30,4.7745,,,5.83,
2001-10-31,,,,5.815,5.7997
2001-11-30,,,,5.8408,5.681
2001-12-31,4.8039,,6.1287,5.87,5.6255
2002-01-31,,,,5.815,5.6338
2002-02-28,,,6.23,5.8425,5.5406
2002-03-31,4.7338,,6.2327,5.9008,5.5316
2002-04-30,,,6.1643,5.8967,5.5044
2002-05-31,,,6.0438,5.9417,5.4557
2002-06-30,4.6692,,6.1561,5.9383,5.4362
2002-07-31,,,6.1615,5.9258,5.3257
2002-08-31,,,6.063,5.9,5.3358
2002-09-30,4.7792,,6.0164,5.9433,5.2868
2002-10-31,,,6.0739,5.9125,5.2291
2002-11-30,,,6.0767,5.8958,5.2124
2002-12-31,4.84,,5.9391,5.555,5.1472
2003-01-31,,,6.0274,5.5075,5.1415
2003-02-28,,,5.9473,5.56,5.0908
2003-03-31,4.7104,,5.8871,5.5425,4.9861
2003-04-30,,,5.9309,5.5275,4.9734
2003-05-31,,,5.909,5.585,5.0045
2003-06-30,4.6692,,5.8843,5.6675,4.905
2003-07-31,,,6.0137,5.7483,4.8478
2003-08-31,,,5.9473,5.7183,4.865
2003-09-30,4.7053,,5.909,5.8733,4.8636
2003-10-31,,,5.9199,5.9308,4.7931
2003-11-30,,,5.8569,5.9167,4.803
2003-12-31,4.7376,,5.8131,6.05,4.7776
2004-01-31,,,6.0027,6.0617,4.8045
2004-02-29,,,6.0767,6.0958,4.7503
2004-03-31,4.6339,10.78,6.0082,6.1733,4.6615
2004-04-30,,,6.1697,6.2283,4.6983
2004-05-31,,,6.1506,6.2567,4.7063
2004-06-30,4.5487,11.11,6.1807,6.2275,4.6702
2004-07-31,,,6.293,6.2842,4.6953
2004-08-31,,,6.2108,6.2267,4.6691
2004-09-30,4.7338,11.1,6.1588,6.26,4.6636
2004-10-31,,,6.23,6.3483,4.6297
2004-11-30,,,6.2327,6.3158,4.5887
2004-12-31,4.7671,11.12,6.2163,6.43,4.5929
2005-01-31,,,6.345,6.3517,4.6247
2005-02-28,,,6.616,6.305,4.5645
2005-03-31,4.7596,11.16,6.564,6.3008,4.5069
2005-04-30,,,6.6626,6.2983,4.5717
2005-05-31,,,6.6242,6.3267,4.6038
2005-06-30,4.8036,11.36,6.6215,6.31,4.62
2005-07-31,,,6.8542,6.3733,4.6018
2005-08-31,,,6.7912,6.3592,4.5643
2005-09-30,4.9563,11.76,6.7721,6.3717,4.5796
2005-10-31,,,6.8953,6.4883,4.5213
2005-11-30,,,6.8159,6.4258,4.4879
2005-12-31,5.0202,12.04,6.731,6.5592,4.4994
2006-01-31,,,6.8624,6.5025,4.4974
2006-02-28,,,6.8268,6.5983,4.5361
2006-03-31,5.0576,12.13,6.8652,6.6683,4.4659
