date,japan,us,italy,france,uk,phase
1999-12-31,1.31,,6.10,2.67,1.70,actual
2000-12-31,1.31,,5.83,2.58,1.65,actual
2001-12-31,1.28,2.31,5.74,2.62,1.48,actual
2002-12-31,1.28,2.10,5.18,2.64,1.37,actual
2003-12-31,1.23,1.96,4.72,2.53,1.40,actual
2004-12-31,1.09,1.89,4.42,2.51,1.46,actual
2005-12-31,0.82,1.99,4.30,2.44,1.59,actual
2006-12-31,0.63,1.96,4.20,2.37,1.61,actual
2007-12-31,0.70,2.07,4.49,2.47,1.68,actual
2008-12-31,0.83,2.02,4.66,2.63,1.54,actual
2009-12-31,1.00,1.89,4.18,2.24,1.46,actual
2010-12-31,1.06,2.03,4.09,2.29,2.53,actual
2011-12-31,1.18,2.30,4.41,2.49,2.80,actual
2012-12-31,1.20,2.21,4.95,2.46,2.34,actual
2013-12-31,1.11,1.98,4.62,2.20,1.39,actual
2014-12-31,1.08,1.97,4.38,2.10,1.82,actual
2015-12-31,1.02,1.84,3.94,1.93,1.50,actual
2016-12-31,1.04,1.98,3.74,1.83,1.61,actual
2017-12-31,0.91,2.01,3.61,1.73,1.81,actual
2018-12-31,0.78,2.23,3.48,1.43,1.67,actual
2019-12-31,0.66,2.28,3.19,1.47,1.43,actual
2020-12-31,0.62,2.05,3.28,1.27,1.13,actual
2021-12-31,0.59,2.27,3.28,1.37,2.11,actual
2022-12-31,0.40,2.73,3.94,1.88,3.56,actual
2023-12-31,0.22,3.13,3.39,1.70,2.36,actual
2024-12-31,0.12,3.49,3.61,1.80,2.03,actual
2025-12-31,0.20,3.65,3.61,1.98,2.61,projection
2026-12-31,0.31,3.83,3.61,2.23,2.67,projection
2027-12-31,0.67,3.86,3.82,2.48,2.73,projection
2028-12-31,1.01,3.94,4.01,2.68,2.87,projection
2029-12-31,1.26,4.08,4.15,2.81,3.01,projection
2030-12-31,1.49,4.20,4.15,3.04,3.05,projection
2031-12-31,1.73,4.31,4.33,3.28,2.96,projection
