date,gross_years,consolidated_years,band_hi,band_lo
2001-05-31,4.6766,4.6655,4.6766,4.6655
2001-06-30,4.7352,4.8886,,
2001-07-31,4.7056,4.9814,,
2001-08-31,4.7292,5.0153,,
2001-09-30,4.7745,4.9469,,
2001-10-31,4.7837,4.9818,,
2001-11-30,4.7876,4.9387,,
2001-12-31,4.8039,4.9521,,
2002-01-31,4.7785,4.922,,
2002-02-28,4.7266,4.9803,,
2002-03-31,4.7338,4.8607,,
2002-04-30,4.6413,4.8787,,
2002-05-31,4.6517,4.9207,,
2002-06-30,4.6692,4.9528,,
2002-07-31,4.6548,4.9409,,
2002-08-31,4.6993,4.9895,,
2002-09-30,4.7792,5.0056,,
2002-10-31,4.773,5.0555,,
2002-11-30,4.8249,5.0443,,
2002-12-31,4.8399,5.0558,,
2003-01-31,4.8503,5.0559,,
2003-02-28,4.7708,4.9982,,
2003-03-31,4.7104,4.8122,,
2003-04-30,4.6111,4.7367,,
2003-05-31,4.6005,4.7019,,
2003-06-30,4.6692,4.7403,,
2003-07-31,4.699,4.7754,,
2003-08-31,4.7027,4.7907,,
2003-09-30,4.7053,4.7865,,
2003-10-31,4.6744,4.8188,,
2003-11-30,4.7191,4.8647,,
2003-12-31,4.7375,4.9031,,
2004-01-31,4.7622,4.8641,,
2004-02-29,4.7102,4.8388,,
2004-03-31,4.6339,4.7869,,
2004-04-30,4.5889,4.7251,,
2004-05-31,4.585,4.7053,,
2004-06-30,4.5487,4.6574,,
2004-07-31,4.5994,4.725,,
2004-08-31,4.633,4.7708,,
2004-09-30,4.7338,4.8715,,
2004-10-31,4.7287,4.91,,
2004-11-30,4.7564,4.9435,,
2004-12-31,4.7671,4.9399,,
2005-01-31,4.7776,4.9752,,
2005-02-28,4.7602,4.9758,,
2005-03-31,4.7595,4.9456,,
2005-04-30,4.7256,4.9254,,
2005-05-31,4.7637,4.9773,,
2005-06-30,4.8036,5.0044,,
2005-07-31,4.8328,5.0829,,
2005-08-31,4.8753,5.1211,,
2005-09-30,4.9562,5.1865,,
2005-10-31,4.97,5.1873,,
2005-11-30,5.0031,5.2247,,
2005-12-31,5.0202,5.2699,,
2006-01-31,5.0432,5.2555,,
2006-02-28,5.0172,5.1714,,
2006-03-31,5.0575,5.2719,,
2006-04-30,5.0171,5.348,,
2006-05-31,5.0445,5.2926,,
2006-06-30,5.1154,5.4247,,
2006-07-31,5.196,5.5709,,
2006-08-31,5.1744,5.4997,,
2006-09-30,5.2191,5.552,,
2006-10-31,5.2076,5.5717,,
2006-11-30,5.2032,5.5065,,
2006-12-31,5.2714,5.6069,,
2007-01-31,5.2909,5.6253,,
2007-02-28,5.2877,5.5636,,
2007-03-31,5.2908,5.5817,,
2007-04-30,5.2463,5.5519,,
2007-05-31,5.2303,5.4998,,
2007-06-30,5.2961,5.5557,,
2007-07-31,5.3259,5.6058,,
2007-08-31,5.3373,5.6039,,
2007-09-30,5.383,5.6405,,
2007-10-31,5.4038,5.7196,,
2007-11-30,5.3691,5.6455,,
2007-12-31,5.4297,5.702,,
2008-01-31,5.4259,5.7188,,
2008-02-29,5.4328,5.6667,,
2008-03-31,5.4422,5.6417,,
2008-04-30,5.3863,5.6393,,
2008-05-31,5.411,5.6399,,
2008-06-30,5.5166,5.7589,,
2008-07-31,5.5194,5.7872,,
2008-08-31,5.4989,5.7203,,
2008-09-30,5.5546,5.7496,,
2008-10-31,5.5612,5.8029,,
2008-11-30,5.5524,5.767,,
2008-12-31,5.6054,5.7603,,
2009-01-31,5.6193,5.8239,,
2009-02-28,5.5951,5.7524,,
2009-03-31,5.6388,5.7243,,
2009-04-30,5.5448,5.6987,,
2009-05-31,5.5155,5.6571,,
2009-06-30,5.5254,5.6601,,
2009-07-31,5.5422,5.7246,,
2009-08-31,5.5635,5.7183,,
2009-09-30,5.5777,5.7044,,
2009-10-31,5.584,5.7756,,
2009-11-30,5.5639,5.7266,,
2009-12-31,5.6221,5.7426,,
2010-01-31,5.6162,5.7816,,
2010-02-28,5.6263,5.754,,
2010-03-31,5.6738,5.7618,,
2010-04-30,5.6129,5.7637,,
2010-05-31,5.6248,5.7588,,
2010-06-30,5.6672,5.7876,,
2010-07-31,5.6764,5.8325,,
2010-08-31,5.7192,5.8494,,
2010-09-30,5.7812,5.9113,,
2010-10-31,5.7737,5.9255,,
2010-11-30,5.7931,5.8935,,
2010-12-31,5.8379,5.9402,,
2011-01-31,5.8559,5.9951,,
2011-02-28,5.8486,5.9637,,
2011-03-31,5.9273,5.8919,5.9273,5.8919
2011-04-30,5.8431,5.8593,,
2011-05-31,5.8503,5.8912,,
2011-06-30,5.89,5.9258,,
2011-07-31,5.8853,5.9667,,
2011-08-31,5.8801,5.9753,,
2011-09-30,5.9097,5.9647,,
2011-10-31,5.9456,6.0133,,
2011-11-30,5.9096,6.0193,,
2011-12-31,6.0069,6.0926,,
2012-01-31,6.0458,6.1273,,
2012-02-29,6.0673,6.1673,,
2012-03-31,6.1005,6.182,,
2012-04-30,6.0206,6.1016,,
2012-05-31,6.0144,6.1319,,
2012-06-30,6.099,6.1444,,
2012-07-31,6.1189,6.2377,,
2012-08-31,6.1038,6.2197,,
2012-09-30,6.1529,6.2531,,
2012-10-31,6.1621,6.2918,,
2012-11-30,6.1275,6.2806,,
2012-12-31,6.1621,6.2879,,
2013-01-31,6.21,6.3996,,
2013-02-28,6.2696,6.4636,,
2013-03-31,6.3107,6.4421,,
2013-04-30,6.2721,6.3525,,
2013-05-31,6.2534,6.2634,,
2013-06-30,6.3129,6.2263,6.3129,6.2263
2013-07-31,6.3562,6.2725,6.3562,6.2725
2013-08-31,6.3642,6.2476,6.3642,6.2476
2013-09-30,6.4239,6.249,6.4239,6.249
2013-10-31,6.4224,6.2286,6.4224,6.2286
2013-11-30,6.4321,6.2122,6.4321,6.2122
2013-12-31,6.4843,6.1856,6.4843,6.1856
2014-01-31,6.5013,6.19,6.5013,6.19
2014-02-28,6.5019,6.1775,6.5019,6.1775
2014-03-31,6.5478,6.0962,6.5478,6.0962
2014-04-30,6.4652,5.9796,6.4652,5.9796
2014-05-31,6.4849,5.9821,6.4849,5.9821
2014-06-30,6.5735,5.9421,6.5735,5.9421
2014-07-31,6.5871,6.0108,6.5871,6.0108
2014-08-31,6.592,6.014,6.592,6.014
2014-09-30,6.6772,6.0166,6.6772,6.0166
2014-10-31,6.6634,5.9872,6.6634,5.9872
2014-11-30,6.6624,5.9367,6.6624,5.9367
2014-12-31,6.8386,6.0042,6.8386,6.0042
2015-01-31,6.7481,5.8684,6.7481,5.8684
2015-02-28,6.7523,5.8416,6.7523,5.8416
2015-03-31,6.7803,5.7256,6.7803,5.7256
2015-04-30,6.7428,5.6347,6.7428,5.6347
2015-05-31,6.7611,5.6183,6.7611,5.6183
2015-06-30,6.8918,5.607,6.8918,5.607
2015-07-31,6.9054,5.6199,6.9054,5.6199
2015-08-31,6.9397,5.6212,6.9397,5.6212
2015-09-30,7.0444,5.6099,7.0444,5.6099
2015-10-31,7.0339,5.5582,7.0339,5.5582
2015-11-30,7.0288,5.5389,7.0288,5.5389
2015-12-31,7.2225,5.6138,7.2225,5.6138
2016-01-31,7.041,5.4381,7.041,5.4381
2016-02-29,7.2101,5.5482,7.2101,5.5482
2016-03-31,7.3229,5.5157,7.3229,5.5157
2016-04-30,7.3018,5.439,7.3018,5.439
2016-05-31,7.2879,5.4159,7.2879,5.4159
2016-06-30,7.3913,5.3937,7.3913,5.3937
2016-07-31,7.3688,5.3867,7.3688,5.3867
2016-08-31,7.343,5.3691,7.343,5.3691
2016-09-30,7.4426,5.3884,7.4426,5.3884
2016-10-31,7.4251,5.3528,7.4251,5.3528
2016-11-30,7.4251,5.327,7.4251,5.327
2016-12-31,7.5179,5.2923,7.5179,5.2923
2017-01-31,7.5014,5.2606,7.5014,5.2606
2017-02-28,7.4901,5.2394,7.4901,5.2394
2017-03-31,7.6014,5.2262,7.6014,5.2262
2017-04-30,7.5836,5.1393,7.5836,5.1393
2017-05-31,7.5788,5.1419,7.5788,5.1419
2017-06-30,7.6702,5.1217,7.6702,5.1217
2017-07-31,7.6775,5.131,7.6775,5.131
2017-08-31,7.6538,5.0736,7.6538,5.0736
2017-09-30,7.7548,5.1105,7.7548,5.1105
2017-10-31,7.7385,5.1069,7.7385,5.1069
2017-11-30,7.7242,5.0871,7.7242,5.0871
2017-12-31,7.8209,5.1115,7.8209,5.1115
2018-01-31,7.8172,5.1299,7.8172,5.1299
2018-02-28,7.7984,5.1014,7.7984,5.1014
2018-03-31,7.9229,5.1212,7.9229,5.1212
2018-04-30,7.894,5.0494,7.894,5.0494
2018-05-31,7.8746,5.0203,7.8746,5.0203
2018-06-30,7.9831,5.057,7.9831,5.057
2018-07-31,7.9669,5.0553,7.9669,5.0553
2018-08-31,7.9351,5.0081,7.9351,5.0081
2018-09-30,8.048,5.0848,8.048,5.0848
2018-10-31,8.0138,5.0671,8.0138,5.0671
2018-11-30,7.9887,5.04,7.9887,5.04
2018-12-31,8.0579,5.12,8.0579,5.12
2019-01-31,8.0314,5.1191,8.0314,5.1191
2019-02-28,8.0052,5.0996,8.0052,5.0996
2019-03-31,8.1209,5.1564,8.1209,5.1564
2019-04-30,8.0852,5.1299,8.0852,5.1299
2019-05-31,8.0616,5.0998,8.0616,5.0998
2019-06-30,8.1524,5.1293,8.1524,5.1293
2019-07-31,8.1348,5.1796,8.1348,5.1796
2019-08-31,8.0896,5.1347,8.0896,5.1347
2019-09-30,8.2165,5.2434,8.2165,5.2434
2019-10-31,8.1741,5.2285,8.1741,5.2285
