date,price_yen
2020-05-01,99.38
2020-06-01,97.40
2020-07-01,94.95
2020-08-03,96.64
2020-09-01,94.62
2020-10-01,94.99
2020-11-02,94.18
2020-12-01,93.96
2021-01-04,93.97
2021-02-01,93.41
2021-03-01,91.10
2021-04-01,93.33
2021-05-06,93.69
2021-06-01,93.41
2021-07-01,93.04
2021-08-02,94.76
2021-09-01,94.43
2021-10-01,93.65
2021-11-01,93.33
2021-12-01,93.46
2022-01-04,93.15
2022-02-01,91.02
2022-03-01,88.60
2022-04-01,87.84
2022-05-02,87.00
2022-06-01,86.01
2022-07-01,82.16
2022-08-01,82.96
2022-09-01,82.76
2022-10-03,79.14
2022-11-01,78.43
2022-12-01,77.34
2023-01-04,75.90
2023-02-01,74.47
2023-03-01,78.07
2023-04-03,80.53
2023-05-01,81.12
2023-06-01,80.90
2023-07-03,81.34
2023-08-01,77.48
2023-09-01,74.99
2023-10-02,73.97
2023-11-01,70.06
2023-12-01,73.69
2024-01-04,74.33
2024-02-01,72.19
2024-03-01,73.79
2024-04-01,73.03
2024-05-01,70.48
2024-06-03,66.77
2024-07-01,66.92
2024-08-01,66.98
2024-09-02,68.42
2024-10-01,68.77
2024-11-01,67.50
2024-12-02,66.83
2025-01-06,67.00
2025-02-03,66.25
2025-03-03,65.47
2025-04-01,63.07
2025-05-01,61.78
2025-06-02,59.23
2025-07-01,60.02
2025-08-01,57.31
2025-09-01,56.38
2025-10-01,56.70
2025-11-04,56.39
2025-12-01,53.98
2026-01-05,52.66
2026-02-02,50.04
2026-03-02,53.02
2026-04-01,49.73
2026-05-01,48.86
2026-06-01,47.21
2026-07-01,47.08
2026-08-03,46.28
