date,face_pgdp,market_pgdp
2001-08-31,70.84,74.94
2001-09-30,70.30,74.25
2001-10-31,71.08,75.11
2001-11-30,71.56,75.33
2001-12-31,71.56,75.31
2002-01-31,72.75,75.93
2002-02-28,74.67,77.85
2002-03-31,74.91,78.45
2002-04-30,77.33,80.91
2002-05-31,78.17,81.73
2002-06-30,78.61,82.40
2002-07-31,79.81,83.53
2002-08-31,79.21,83.38
2002-09-30,78.44,82.47
2002-10-31,79.10,83.55
2002-11-30,79.11,83.45
2002-12-31,78.68,83.13
2003-01-31,79.38,84.07
2003-02-28,81.45,86.15
2003-03-31,83.21,88.10
2003-04-30,85.73,90.85
2003-05-31,86.99,92.22
2003-06-30,86.39,90.59
2003-07-31,86.84,90.72
2003-08-31,87.33,89.57
2003-09-30,87.92,90.25
2003-10-31,88.84,91.02
2003-11-30,89.40,92.01
2003-12-31,89.40,91.88
2004-01-31,89.62,92.26
2004-02-29,91.38,94.17
2004-03-31,93.78,95.94
2004-04-30,95.72,97.53
2004-05-31,97.60,99.43
2004-06-30,98.03,99.15
2004-07-31,97.81,98.63
2004-08-31,97.93,99.63
2004-09-30,96.74,98.79
2004-10-31,97.79,99.73
2004-11-30,98.40,100.44
2004-12-31,98.54,100.66
2005-01-31,99.40,101.82
2005-02-28,100.76,102.69
2005-03-31,101.97,104.40
2005-04-30,103.72,106.43
2005-05-31,103.99,106.61
2005-06-30,103.57,106.48
2005-07-31,104.66,106.99
2005-08-31,104.70,106.85
2005-09-30,103.51,105.15
2005-10-31,104.74,106.08
2005-11-30,105.15,106.84
2005-12-31,104.37,105.91
2006-01-31,105.47,106.69
2006-02-28,106.28,107.19
2006-03-31,106.40,106.71
2006-04-30,108.23,108.04
2006-05-31,109.36,109.34
2006-06-30,107.61,107.28
2006-07-31,108.38,108.02
2006-08-31,108.50,109.31
2006-09-30,108.63,109.36
2006-10-31,109.95,110.49
2006-11-30,110.91,111.61
2006-12-31,109.76,110.29
2007-01-31,110.81,111.48
2007-02-28,111.82,112.68
2007-03-31,111.15,111.97
2007-04-30,113.10,113.95
2007-05-31,114.09,114.42
2007-06-30,112.89,112.73
2007-07-31,113.14,113.31
2007-08-31,113.66,114.58
2007-09-30,112.90,113.68
2007-10-31,114.17,115.23
2007-11-30,115.16,116.67
2007-12-31,114.23,115.79
2008-01-31,115.12,116.94
2008-02-29,115.80,117.93
2008-03-31,116.51,118.85
2008-04-30,118.26,119.19
2008-05-31,118.65,118.86
2008-06-30,116.92,117.89
2008-07-31,117.92,119.06
2008-08-31,118.84,120.62
2008-09-30,118.20,119.66
2008-10-31,119.36,121.16
2008-11-30,120.59,122.56
2008-12-31,120.24,123.65
2009-01-31,121.77,124.59
2009-02-28,123.91,126.85
2009-03-31,124.70,127.28
2009-04-30,128.56,130.81
2009-05-31,130.70,132.61
2009-06-30,132.33,134.93
2009-07-31,133.87,136.18
2009-08-31,136.57,139.35
2009-09-30,137.06,140.01
2009-10-31,139.05,141.48
2009-11-30,142.57,145.67
2009-12-31,142.29,145.38
2010-01-31,143.64,146.58
2010-02-28,145.01,147.93
2010-03-31,145.32,147.90
2010-04-30,148.48,151.75
2010-05-31,150.14,153.56
2010-06-30,149.54,154.03
2010-07-31,150.13,154.84
2010-08-31,150.49,155.75
2010-09-30,149.37,154.59
2010-10-31,150.51,155.20
2010-11-30,151.79,155.16
2010-12-31,151.01,154.94
2011-01-31,152.72,155.91
2011-02-28,154.25,157.19
2011-03-31,152.86,155.83
2011-04-30,157.04,160.24
2011-05-31,159.08,162.66
2011-06-30,158.92,162.77
2011-07-31,160.68,164.78
2011-08-31,163.21,167.52
2011-09-30,163.52,168.24
2011-10-31,164.71,169.13
2011-11-30,167.15,171.40
2011-12-31,165.12,169.99
2012-01-31,164.91,169.79
2012-02-29,165.97,170.83
2012-03-31,165.24,170.02
2012-04-30,168.73,174.01
2012-05-31,169.93,175.73
2012-06-30,168.32,173.91
2012-07-31,169.38,175.30
2012-08-31,170.88,176.50
2012-09-30,170.85,176.66
2012-10-31,172.82,178.43
2012-11-30,174.31,180.14
2012-12-31,174.78,180.09
2013-01-31,174.60,180.10
2013-02-28,174.30,180.77
2013-03-31,174.61,182.49
2013-04-30,177.59,184.67
2013-05-31,178.61,183.97
2013-06-30,177.99,183.23
2013-07-31,178.27,183.69
2013-08-31,178.37,184.26
2013-09-30,178.38,184.84
2013-10-31,178.46,185.59
2013-11-30,178.97,186.08
2013-12-31,178.13,184.39
2014-01-31,178.10,185.26
2014-02-28,179.06,186.40
2014-03-31,179.02,185.85
2014-04-30,181.73,188.63
2014-05-31,181.92,189.08
2014-06-30,180.34,187.75
2014-07-31,180.68,188.17
2014-08-31,181.77,189.61
2014-09-30,180.20,187.99
2014-10-31,181.21,189.53
2014-11-30,182.08,191.17
2014-12-31,178.09,188.60
2015-01-31,180.96,191.34
2015-02-28,181.75,191.16
2015-03-31,181.41,190.77
2015-04-30,183.76,193.47
2015-05-31,183.38,192.21
2015-06-30,180.92,189.53
2015-07-31,180.95,189.83
2015-08-31,181.64,190.61
2015-09-30,179.40,188.70
2015-10-31,179.85,189.60
2015-11-30,181.22,190.80
2015-12-31,176.04,186.43
2016-01-31,181.35,193.57
2016-02-29,178.64,193.44
2016-03-31,175.85,191.91
2016-04-30,177.03,194.50
2016-05-31,178.23,196.16
2016-06-30,176.70,196.61
2016-07-31,178.15,196.59
2016-08-31,180.04,196.64
2016-09-30,178.12,194.72
2016-10-31,179.34,195.38
2016-11-30,180.89,195.72
2016-12-31,178.72,192.52
2017-01-31,180.02,192.76
2017-02-28,181.19,194.30
2017-03-31,179.54,192.29
2017-04-30,180.56,194.00
2017-05-31,181.84,194.82
2017-06-30,179.79,192.22
2017-07-31,180.72,193.01
2017-08-31,180.91,193.90
2017-09-30,179.11,191.39
2017-10-31,180.31,192.44
2017-11-30,180.57,193.00
2017-12-31,178.72,191.14
2018-01-31,179.87,191.88
2018-02-28,180.87,193.39
2018-03-31,178.06,190.70
2018-04-30,179.07,191.51
2018-05-31,179.91,192.57
2018-06-30,177.78,190.42
2018-07-31,178.85,191.09
2018-08-31,180.09,191.33
2018-09-30,178.14,188.87
2018-10-31,179.87,190.76
2018-11-30,180.60,192.08
2018-12-31,179.50,192.14
2019-01-31,180.54,193.72
2019-02-28,181.68,195.15
2019-03-31,179.49,194.05
2019-04-30,180.60,194.55
2019-05-31,181.44,196.31
2019-06-30,179.65,195.49
2019-07-31,180.78,196.72
2019-08-31,181.38,199.67
2019-09-30,179.34,195.66
2019-10-31,180.21,195.68
2019-11-30,181.29,196.08
2019-12-31,179.84,194.02
2020-01-31,180.88,195.69
2020-02-29,182.37,198.49
2020-03-31,180.60,193.97
2020-04-30,183.81,197.75
2020-05-31,187.88,201.03
2020-06-30,192.41,204.81
2020-07-31,197.37,210.29
2020-08-31,201.12,213.16
2020-09-30,200.37,212.83
2020-10-31,202.57,214.63
2020-11-30,205.34,217.53
2020-12-31,203.51,215.63
2021-01-31,205.04,216.59
2021-02-28,206.40,216.37
2021-03-31,204.53,215.58
2021-04-30,204.26,215.48
2021-05-31,204.32,215.41
2021-06-30,201.60,212.62
2021-07-31,201.20,212.97
2021-08-31,201.15,212.65
2021-09-30,198.85,209.61
2021-10-31,200.17,210.64
2021-11-30,200.31,211.06
2021-12-31,198.06,208.30
2022-01-31,199.99,208.84
2022-02-28,201.93,209.78
2022-03-31,200.95,208.20
2022-04-30,202.79,209.49
2022-05-31,204.38,210.68
2022-06-30,202.48,207.07
2022-07-31,203.36,208.95
