as_of,end_date,funds_equity_tn,funds_bond_tn,funds_balanced_other_tn,fx_deposits_and_bonds_tn,direct_equity_tn,direct_fund_shares_tn
Mar 2010,2010-03-31,8.4790,21.1123,6.9689,16.5577,1.8127,2.9112
Mar 2011,2011-03-31,7.4731,23.9833,8.1952,17.1782,1.8591,2.9857
Mar 2012,2012-03-31,6.0392,22.0231,8.1838,18.6774,2.0763,3.3344
Mar 2013,2013-03-31,7.5515,23.8103,10.1070,19.8874,2.2280,3.5781
Mar 2014,2014-03-31,8.5600,22.3152,12.0349,19.6506,2.2243,3.5722
Mar 2015,2015-03-31,10.6612,20.9738,17.1002,19.7421,2.3465,3.7684
Mar 2016,2016-03-31,10.2539,17.6663,16.6015,18.4154,2.2631,3.5258
Mar 2017,2017-03-31,10.9210,15.6969,15.7152,20.3895,2.8347,3.6786
Mar 2018,2018-03-31,14.9189,14.6570,12.4050,21.3535,3.1270,3.9979
Mar 2019,2019-03-31,16.5573,12.6058,11.7027,22.5621,3.0288,3.9363
Mar 2020,2020-03-31,13.5923,9.7120,9.7693,20.9900,3.3467,3.9631
Mar 2021,2021-03-31,25.1067,9.6446,11.5582,22.2851,4.6954,4.8637
Mar 2022,2022-03-31,31.0091,9.5772,12.2663,22.1084,6.5933,5.7666
Mar 2023,2023-03-31,31.8329,9.7756,12.0508,22.0667,5.3162,5.8470
Mar 2024,2024-03-31,49.0815,11.5971,13.9151,25.3128,8.2820,7.7800
Mar 2025,2025-03-31,58.8895,11.7098,14.8108,25.2631,10.2710,9.6022
Mar 2026,2026-03-31,77.2848,12.0009,18.9191,27.7398,12.4780,13.8697
Jun 2026,2026-06-30,95.5225,12.3421,20.2661,30.8479,14.3347,15.9334
