YM,phase,seg_1_5_pct,seg_5_10_pct,seg_10_25_pct,seg_25p_pct
2010-01,actual,9.623,7.373,8.994,1.193
2010-02,actual,9.681,7.664,8.970,1.167
2010-03,actual,9.819,7.662,8.942,1.106
2010-04,actual,9.664,7.909,8.628,1.261
2010-05,actual,9.949,7.787,8.599,1.204
2010-06,actual,10.165,7.633,8.345,1.274
2010-07,actual,9.081,8.139,8.360,1.275
2010-08,actual,9.395,7.992,8.326,1.232
2010-09,actual,9.492,8.198,8.086,1.212
2010-10,actual,8.862,8.235,8.193,0.898
2010-11,actual,9.158,8.239,8.188,0.868
2010-12,actual,9.366,8.447,7.961,0.854
2011-01,actual,9.729,8.460,8.049,0.867
2011-02,actual,9.854,8.291,8.022,0.839
2011-03,actual,10.215,8.386,7.787,0.982
2011-04,actual,10.209,8.436,7.528,0.914
2011-05,actual,10.425,8.286,7.510,0.937
2011-06,actual,10.716,8.136,7.336,1.020
2011-07,actual,10.620,8.107,7.436,1.077
2011-08,actual,10.821,8.129,7.429,1.043
2011-09,actual,11.106,7.993,7.249,1.024
2011-10,actual,11.341,7.260,7.289,0.864
2011-11,actual,11.617,7.180,7.281,0.840
2011-12,actual,12.011,7.173,7.121,0.826
2012-01,actual,11.938,7.166,7.184,0.712
2012-02,actual,11.928,7.433,7.183,0.693
2012-03,actual,12.726,7.334,7.038,0.681
2012-04,actual,12.179,7.682,7.073,0.552
2012-05,actual,12.972,7.844,7.045,0.601
2012-06,actual,14.018,8.170,7.023,0.590
2012-07,actual,13.699,8.679,6.794,0.575
2012-08,actual,14.024,8.855,6.775,0.558
2012-09,actual,15.018,8.734,6.763,0.551
2012-10,actual,15.797,8.635,6.627,0.371
2012-11,actual,16.048,8.593,6.623,0.361
2012-12,actual,16.538,8.887,6.620,0.355
2013-01,actual,16.444,9.309,6.294,0.373
2013-02,actual,16.049,9.516,6.296,0.364
2013-03,actual,16.281,9.589,6.292,0.359
2013-04,actual,16.283,11.239,6.532,0.445
2013-05,actual,16.988,12.727,7.280,0.437
2013-06,actual,17.483,14.367,8.297,1.657
2013-07,actual,18.085,15.743,7.986,2.048
2013-08,actual,18.841,16.540,8.371,2.951
2013-09,actual,19.566,17.852,9.308,3.112
2013-10,actual,20.797,18.510,9.076,3.661
2013-11,actual,21.921,20.217,9.427,4.411
2013-12,actual,22.037,21.003,9.999,4.613
2014-01,actual,22.753,21.855,9.979,5.708
2014-02,actual,23.336,23.125,10.468,5.810
2014-03,actual,23.416,23.919,11.304,5.791
2014-04,actual,23.104,24.729,10.869,6.322
2014-05,actual,23.846,26.109,11.031,7.177
2014-06,actual,24.438,26.595,11.917,7.668
2014-07,actual,24.647,28.049,11.305,7.892
2014-08,actual,25.290,28.971,11.582,8.156
2014-09,actual,25.906,29.310,12.115,8.254
2014-10,actual,26.939,30.977,11.715,8.831
2014-11,actual,28.451,31.621,12.203,9.965
2014-12,actual,29.002,32.431,13.370,11.964
2015-01,actual,30.295,33.154,13.446,13.303
2015-02,actual,31.102,33.945,14.034,14.619
2015-03,actual,31.671,34.608,15.222,15.786
2015-04,actual,32.493,36.014,14.885,17.499
2015-05,actual,32.962,36.475,15.440,18.413
2015-06,actual,34.136,36.921,16.343,19.559
2015-07,actual,35.174,37.523,16.478,20.394
2015-08,actual,35.721,38.213,16.873,21.151
2015-09,actual,36.110,38.843,17.693,21.919
2015-10,actual,37.202,39.098,17.675,24.187
2015-11,actual,37.997,40.528,18.065,24.571
2015-12,actual,38.839,40.730,18.640,25.780
2016-01,actual,39.742,42.919,19.229,27.020
2016-02,actual,40.100,43.389,19.631,27.899
2016-03,actual,40.680,44.440,20.256,28.821
2016-04,actual,42.058,45.669,20.630,31.216
2016-05,actual,42.548,46.130,21.128,32.144
2016-06,actual,42.721,47.070,21.828,32.436
2016-07,actual,44.443,47.900,21.818,33.053
2016-08,actual,45.053,48.502,22.177,33.381
2016-09,actual,45.491,48.977,22.394,33.646
2016-10,actual,45.876,50.370,22.416,35.293
2016-11,actual,46.639,51.118,22.682,35.602
2016-12,actual,47.634,51.267,23.132,35.939
2017-01,actual,48.113,53.069,23.347,36.296
2017-02,actual,48.420,53.998,23.691,36.471
2017-03,actual,48.654,54.290,24.455,36.620
2017-04,actual,49.395,55.896,24.295,37.700
2017-05,actual,49.373,56.368,24.512,37.727
2017-06,actual,49.549,56.671,25.114,37.889
2017-07,actual,48.855,58.542,24.922,37.929
2017-08,actual,49.515,58.345,25.269,37.889
2017-09,actual,49.700,59.454,25.986,37.953
2017-10,actual,49.273,61.186,25.596,40.193
2017-11,actual,49.867,60.662,25.822,40.046
2017-12,actual,49.796,61.802,26.524,39.885
2018-01,actual,49.056,63.664,26.505,39.844
2018-02,actual,49.214,63.338,26.810,39.632
2018-03,actual,49.356,64.316,27.077,39.703
2018-04,actual,50.184,65.004,27.503,40.287
2018-05,actual,50.533,65.440,27.742,40.214
2018-06,actual,50.633,65.555,28.055,40.000
2018-07,actual,51.100,67.157,28.438,40.459
2018-08,actual,51.087,67.437,28.667,40.211
2018-09,actual,51.506,67.710,28.897,40.074
2018-10,actual,52.672,67.493,29.231,40.071
2018-11,actual,52.773,66.610,29.345,39.935
2018-12,actual,52.981,67.787,29.610,39.626
2019-01,actual,52.577,68.275,29.524,39.781
2019-02,actual,52.673,68.402,29.702,39.424
2019-03,actual,53.082,68.124,29.726,39.196
2019-04,actual,53.519,67.511,30.068,39.317
2019-05,actual,53.866,67.492,30.087,39.015
2019-06,actual,54.030,67.600,30.179,38.598
2019-07,actual,54.269,66.977,30.483,38.100
2019-08,actual,54.433,66.474,30.513,37.646
2019-09,actual,54.576,67.218,30.488,37.401
2019-10,actual,55.390,66.025,30.160,36.766
2019-11,actual,55.488,66.511,30.122,36.420
2019-12,actual,55.585,66.400,30.087,35.988
2020-01,actual,56.373,65.625,30.297,34.909
2020-02,actual,56.559,65.505,30.255,34.483
2020-03,actual,56.917,66.010,30.192,34.131
2020-04,actual,57.675,64.605,30.553,33.177
2020-05,actual,57.913,64.489,30.438,32.846
2020-06,actual,58.557,64.755,30.439,32.401
2020-07,actual,59.427,63.613,30.923,30.721
2020-08,actual,59.613,63.837,30.833,30.253
2020-09,actual,60.388,63.165,30.701,29.869
2020-10,actual,61.609,61.699,31.008,27.712
2020-11,actual,62.283,62.713,30.898,27.361
2020-12,actual,62.777,61.957,30.745,26.976
2021-01,actual,63.659,61.124,31.256,25.214
2021-02,actual,63.844,61.435,31.187,24.847
2021-03,actual,64.036,61.447,31.044,24.521
2021-04,actual,64.500,59.255,31.317,23.464
2021-05,actual,64.615,59.989,31.157,23.221
2021-06,actual,64.555,59.910,31.071,22.840
2021-07,actual,65.438,57.707,31.214,21.575
2021-08,actual,65.600,58.374,31.093,21.208
2021-09,actual,65.455,58.334,30.935,20.958
2021-10,actual,66.226,57.136,30.989,20.086
2021-11,actual,66.065,56.479,30.820,19.860
2021-12,actual,65.866,57.063,30.697,19.543
2022-01,actual,66.276,56.171,30.876,18.527
2022-02,actual,65.973,55.533,30.747,18.236
2022-03,actual,66.312,56.068,30.707,18.244
2022-04,actual,66.359,56.554,30.917,17.002
2022-05,actual,66.731,56.899,30.831,16.879
2022-06,actual,66.784,60.675,30.936,16.893
2022-07,actual,66.709,59.501,30.774,15.985
2022-08,actual,66.757,59.625,30.629,15.786
2022-09,actual,66.921,61.196,30.627,15.696
2022-10,actual,66.519,62.970,30.946,15.042
2022-11,actual,66.550,62.342,31.059,15.173
2022-12,actual,67.461,64.785,31.286,15.336
2023-01,actual,68.410,69.240,32.163,15.243
2023-02,actual,68.283,69.402,32.495,15.554
2023-03,actual,68.224,70.035,32.711,15.609
2023-04,actual,68.176,69.636,32.571,14.558
2023-05,actual,68.268,69.719,32.685,14.690
2023-06,actual,68.110,68.727,32.733,14.638
2023-07,actual,68.304,69.862,32.329,15.037
2023-08,actual,68.314,69.465,32.459,15.090
2023-09,actual,68.425,70.406,32.590,15.229
2023-10,actual,68.203,70.739,32.423,14.608
2023-11,actual,68.342,70.863,32.517,14.738
2023-12,actual,68.351,70.777,32.581,14.714
2024-01,actual,68.371,70.066,31.847,14.572
2024-02,actual,68.542,69.085,31.862,14.467
2024-03,actual,68.830,69.503,31.835,14.498
2024-04,actual,68.379,68.838,31.305,14.343
2024-05,actual,68.289,68.583,31.213,14.228
2024-06,actual,68.193,68.579,31.195,14.150
2024-07,actual,67.721,67.802,30.760,13.970
2024-08,actual,67.765,67.608,30.771,13.877
2024-09,actual,67.886,67.471,30.757,13.846
2024-10,actual,67.031,66.084,30.434,13.277
2024-11,actual,67.072,65.660,30.435,13.282
2024-12,actual,67.027,65.383,30.462,13.219
2025-01,actual,66.686,64.063,29.760,13.418
2025-02,actual,66.400,63.554,29.808,13.347
2025-03,actual,66.391,63.295,29.816,13.363
2025-04,actual,65.513,62.146,29.309,13.374
2025-05,actual,65.263,61.889,29.253,13.416
2025-06,actual,64.991,61.612,29.300,13.379
2025-07,actual,64.154,59.880,28.539,13.334
2025-08,actual,63.641,60.057,28.593,13.335
2025-09,actual,63.403,59.676,28.624,13.370
2025-10,actual,62.623,58.130,28.025,13.323
2025-11,actual,62.449,57.654,28.046,13.352
2025-12,actual,62.182,57.184,28.068,13.366
2026-01,actual,61.499,55.654,27.471,13.602
2026-02,actual,61.041,55.339,27.456,13.596
2026-03,actual,60.914,55.042,27.424,13.628
2026-04,actual,60.328,54.096,26.693,13.784
2026-05,actual,60.235,53.726,26.689,13.828
2026-06,actual,59.682,53.386,26.701,13.851
2026-07,actual,58.796,52.144,26.083,13.709
