as_of,is_estimate,land_tn,other_real_tn,deposits_tn,insurance_pension_tn,securities_other_tn
Dec 1969,False,87.672,24.960,40.055,6.691,17.515
Dec 1970,False,107.694,30.796,47.182,8.088,16.892
Dec 1971,False,130.729,36.066,55.630,9.611,19.979
Dec 1972,False,185.029,50.782,70.025,11.436,32.925
Dec 1973,False,235.963,69.747,86.178,13.538,37.342
Dec 1974,False,233.825,84.545,100.825,16.001,34.940
Dec 1975,False,247.339,96.757,119.402,18.867,36.955
Dec 1976,False,262.761,114.027,139.573,22.167,46.124
Dec 1977,False,283.871,125.120,160.077,25.817,49.228
Dec 1978,False,324.996,140.085,183.386,29.859,62.557
Dec 1979,False,391.348,166.027,206.441,34.749,69.071
Dec 1980,False,476.360,177.897,213.077,48.253,92.323
Dec 1981,False,538.853,179.962,236.922,55.914,102.067
Dec 1982,False,578.253,185.259,258.851,64.646,110.786
Dec 1983,False,602.644,187.660,279.291,74.279,136.889
Dec 1984,False,625.173,190.022,301.653,85.358,160.706
Dec 1985,False,673.865,192.975,325.186,98.622,184.079
Dec 1986,False,840.486,193.683,349.954,116.130,225.761
Dec 1987,False,1092.094,207.974,376.408,136.604,255.450
Dec 1988,False,1191.367,218.923,404.519,160.258,310.777
Dec 1989,False,1371.352,241.817,440.851,185.492,383.261
Dec 1990,False,1485.352,256.825,476.356,206.677,311.113
Dec 1991,False,1375.235,267.308,511.286,224.624,308.292
Dec 1992,False,1244.056,271.974,536.866,245.803,277.533
Dec 1993,False,1187.361,273.898,563.152,268.881,292.822
Dec 1994,False,1152.544,425.709,606.409,345.594,282.445
Dec 1995,False,1102.962,428.231,638.213,374.545,278.692
Dec 1996,False,1085.517,454.373,667.540,401.151,269.227
Dec 1997,False,1077.073,451.878,710.001,419.251,230.597
Dec 1998,False,1050.261,444.344,740.196,443.070,213.966
Dec 1999,False,1022.347,442.062,763.810,459.056,267.793
Dec 2000,False,971.847,443.809,773.494,482.333,250.371
Dec 2001,False,916.667,440.415,786.810,485.854,217.670
Dec 2002,False,862.241,436.655,799.687,496.012,196.195
Dec 2003,False,813.601,437.735,798.707,516.981,228.179
Dec 2004,False,774.286,440.546,801.639,487.122,247.730
Dec 2005,False,759.065,442.118,799.244,483.711,348.025
Dec 2006,False,771.831,452.054,796.234,485.553,362.920
Dec 2007,False,790.680,448.686,804.247,480.386,317.354
Dec 2008,False,765.438,455.133,811.549,471.721,238.993
Dec 2009,False,734.334,433.487,823.628,472.276,257.174
Dec 2010,False,715.306,429.315,836.020,472.672,260.251
Dec 2011,False,695.235,426.320,855.299,476.819,241.009
Dec 2012,False,683.604,419.248,873.293,491.971,264.870
Dec 2013,False,678.046,434.480,894.537,500.981,318.662
Dec 2014,False,680.790,444.298,911.079,514.785,341.156
Dec 2015,False,683.511,442.359,927.703,521.714,346.433
Dec 2016,False,698.301,444.820,945.335,524.898,335.618
Dec 2017,False,696.576,452.151,970.125,528.175,384.134
Dec 2018,False,709.993,449.166,985.627,530.476,343.360
Dec 2019,False,722.366,454.955,1007.894,537.191,370.234
Dec 2020,False,710.290,446.089,1057.209,542.998,363.147
Dec 2021,False,714.766,481.749,1093.603,549.705,428.747
Dec 2022,False,728.420,493.854,1116.703,551.309,409.510
Dec 2023,False,747.843,496.193,1127.914,562.673,491.682
Dec 2024,False,785.122,505.970,1134.592,572.832,555.926
Dec 2025,True,807.105,517.821,1139.895,582.610,689.130
Jun 2026,True,818.327,523.850,1131.551,586.883,819.169
