month,net_inflow_tn,avg_3m_tn
2022-01,0.4578,0.7990
2022-02,0.4565,0.6678
2022-03,0.5589,0.4911
2022-04,0.2537,0.4230
2022-05,0.6190,0.4772
2022-06,0.4358,0.4362
2022-07,0.2766,0.4438
2022-08,0.1935,0.3020
2022-09,0.4149,0.2950
2022-10,0.4108,0.3397
2022-11,0.3694,0.3984
2022-12,0.4489,0.4097
2023-01,0.3174,0.3786
2023-02,0.1769,0.3144
2023-03,0.4304,0.3082
2023-04,0.0800,0.2291
2023-05,0.0264,0.1789
2023-06,0.2037,0.1034
2023-07,0.4636,0.2313
2023-08,0.5013,0.3896
2023-09,0.6533,0.5394
2023-10,0.6238,0.5928
2023-11,0.2590,0.5120
2023-12,0.2954,0.3927
2024-01,1.1443,0.5662
2024-02,1.1410,0.8602
2024-03,1.0400,1.1084
2024-04,0.9688,1.0499
2024-05,1.1552,1.0547
2024-06,1.3713,1.1651
2024-07,1.5806,1.3690
2024-08,0.8875,1.2798
2024-09,0.8798,1.1160
2024-10,0.7121,0.8265
2024-11,0.8596,0.8172
2024-12,1.1215,0.8977
2025-01,1.9909,1.3240
2025-02,1.1528,1.4217
2025-03,1.2838,1.4759
2025-04,1.0316,1.1561
2025-05,0.8723,1.0626
2025-06,0.4630,0.7890
2025-07,0.3756,0.5703
2025-08,0.6726,0.5037
2025-09,0.9834,0.6772
2025-10,0.8409,0.8323
2025-11,0.8525,0.8923
2025-12,1.0445,0.9126
2026-01,1.8013,1.2328
2026-02,1.0949,1.3136
2026-03,1.1258,1.3407
2026-04,1.1484,1.1231
2026-05,1.3300,1.2014
2026-06,1.9990,1.4924
2026-07,1.7039,1.6776
2026-08,1.5096,1.7375
