month,sales_tn,quarterly
2003-03,0.1278,True
2003-04,0.1162,True
2003-07,0.0934,True
2003-10,0.3144,True
2004-01,0.4650,True
2004-04,0.4728,True
2004-07,0.5909,True
2004-10,0.6217,True
2005-01,0.5882,True
2005-04,0.7791,True
2005-07,0.5474,True
2005-10,0.4543,True
2006-01,0.6429,True
2006-04,0.6056,True
2006-07,0.7414,True
2006-10,0.5302,True
2007-01,0.5021,True
2007-04,0.3935,True
2007-07,0.6559,True
2007-10,0.3208,True
2008-01,0.1837,True
2008-04,0.1180,True
2008-07,0.3317,True
2008-10,0.1463,True
2009-01,0.1682,True
2009-04,0.1069,True
2009-07,0.1624,True
2009-10,0.1035,True
2010-01,0.0804,True
2010-04,0.0634,True
2010-07,0.0907,True
2010-08,0.0086,True
2010-09,0.0098,True
2010-10,0.0288,True
2010-11,0.0106,True
2010-12,0.0089,True
2011-01,0.1865,
2011-02,0.1164,
2011-03,0.0623,
2011-04,0.2399,
2011-05,0.1055,
2011-06,0.0583,
2011-07,0.4508,
2011-08,0.1166,
2011-09,0.0503,
2011-10,0.3913,
2011-11,0.0827,
2011-12,0.0351,
2012-01,0.7454,
2012-02,0.1045,
2012-03,0.0455,
2012-04,0.3848,
2012-05,0.0842,
2012-06,0.0386,
2012-07,0.5195,
2012-08,0.0542,
2012-09,0.0269,
2012-10,0.3034,
2012-11,0.0439,
2012-12,0.0180,
2013-01,0.3539,
2013-02,0.0325,
2013-03,0.0149,
2013-04,0.2497,
2013-05,0.0262,
2013-06,0.0333,
2013-07,0.4668,
2013-08,0.0917,
2013-09,0.0943,
2013-10,0.8930,
2013-11,0.1079,
2013-12,0.0341,
2014-01,0.7703,
2014-02,0.3424,
2014-03,0.2395,
2014-04,0.3649,
2014-05,0.3184,
2014-06,0.1571,
2014-07,0.3470,
2014-08,0.2705,
2014-09,0.1798,
2014-10,0.2303,
2014-11,0.2215,
2014-12,0.0957,
2015-01,0.1790,
2015-02,0.1445,
2015-03,0.1241,
2015-04,0.1748,
2015-05,0.1837,
2015-06,0.1466,
2015-07,0.1963,
2015-08,0.2255,
2015-09,0.1601,
2015-10,0.1595,
2015-11,0.1823,
2015-12,0.0729,
2016-01,0.2251,
2016-02,0.1765,
2016-03,0.2335,
2016-04,0.4003,
2016-05,0.2749,
2016-06,0.2104,
2016-07,0.3105,
2016-08,0.3209,
2016-09,0.1692,
2016-10,0.3434,
2016-11,0.1964,
2016-12,0.1913,
2017-01,0.6342,
2017-02,0.5727,
2017-03,0.9315,
2017-04,0.2030,
2017-05,0.1894,
2017-06,0.2334,
2017-07,0.3256,
2017-08,0.3510,
2017-09,0.2115,
2017-10,0.3516,
2017-11,0.2776,
2017-12,0.2682,
2018-01,0.3685,
2018-02,0.3360,
2018-03,0.3334,
2018-04,0.4169,
2018-05,0.3635,
2018-06,0.3613,
2018-07,0.4265,
2018-08,0.3937,
2018-09,0.3624,
2018-10,0.3728,
2018-11,0.3948,
2018-12,0.2918,
2019-01,0.3627,
2019-02,0.3622,
2019-03,0.5842,
2019-04,0.4378,
2019-05,0.3296,
2019-06,0.3714,
2019-07,0.4352,
2019-08,0.4535,
2019-09,0.4166,
2019-10,0.4543,
2019-11,0.3265,
2019-12,0.5211,
2020-01,0.6261,
2020-02,0.4310,
2020-03,0.4453,
2020-04,0.6200,
2020-05,0.0563,
2020-06,0.0662,
2020-07,0.1074,
2020-08,0.1353,
2020-09,0.1527,
2020-10,0.3748,
2020-11,0.3759,
2020-12,0.2704,
2021-01,0.3177,
2021-02,0.2480,
2021-03,0.3042,
2021-04,0.3538,
2021-05,0.3269,
2021-06,0.1921,
2021-07,0.2296,
2021-08,0.2046,
2021-09,0.1798,
2021-10,0.2266,
2021-11,0.1802,
2021-12,0.1916,
2022-01,0.3228,
2022-02,0.2610,
2022-03,0.3038,
2022-04,0.3436,
2022-05,0.2938,
2022-06,0.2863,
2022-07,0.3270,
2022-08,0.3165,
2022-09,0.2457,
2022-10,0.3010,
2022-11,0.2235,
2022-12,0.1751,
2023-01,0.2098,
2023-02,0.3769,
2023-03,0.3193,
2023-04,0.3542,
2023-05,0.2373,
2023-06,0.2218,
2023-07,0.2531,
2023-08,0.1997,
2023-09,0.2940,
2023-10,0.3371,
2023-11,0.3459,
2023-12,0.3500,
2024-01,0.2882,
2024-02,0.2440,
2024-03,0.2782,
2024-04,0.2373,
2024-05,0.3843,
2024-06,0.3568,
2024-07,0.4644,
2024-08,0.4654,
2024-09,0.3046,
2024-10,0.3767,
2024-11,0.3038,
2024-12,0.3420,
2025-01,0.5131,
2025-02,0.3208,
2025-03,0.4246,
2025-04,0.6134,
2025-05,0.6043,
2025-06,0.3346,
2025-07,0.5905,
2025-08,0.3030,
2025-09,0.3529,
2025-10,0.4414,
2025-11,0.4510,
2025-12,0.3309,
2026-01,0.5034,
2026-02,0.7530,
2026-03,0.8743,
2026-04,0.7214,
2026-05,0.9435,
2026-06,0.7272,
2026-07,0.6562,
2026-08,1.0177,
2026-09,1.0729,
