month,boj_reserve_rate_pct,retail_jgb_5y_pct,time_deposit_5y_pct
2023-01,,0.07,0.103
2023-02,,0.18,0.056
2023-03,,0.15,0.053
2023-04,,0.18,0.042
2023-05,,0.14,0.041
2023-06,,0.09,0.119
2023-07,,0.06,0.108
2023-08,,0.05,0.086
2023-09,,0.14,0.128
2023-10,,0.21,0.112
2023-11,,0.33,0.105
2023-12,,0.42,0.189
2024-01,,0.25,0.242
2024-02,,0.18,0.172
2024-03,0.1,0.25,0.185
2024-04,0.1,0.33,0.235
2024-05,0.1,0.36,0.268
2024-06,0.1,0.45,0.286
2024-07,0.1,0.59,0.3
2024-08,0.25,0.61,0.359
2024-09,0.25,0.39,0.317
2024-10,0.25,0.51,0.326
2024-11,0.25,0.46,0.362
2024-12,0.25,0.6,0.546
2025-01,0.5,0.71,0.558
2025-02,0.5,0.77,0.604
2025-03,0.5,0.89,0.586
2025-04,0.5,1.03,0.539
2025-05,0.5,0.95,0.552
2025-06,0.5,0.83,0.566
2025-07,0.5,1.0,0.658
2025-08,0.5,0.96,0.708
2025-09,0.5,0.97,0.561
2025-10,0.5,1.12,0.572
2025-11,0.5,1.22,0.532
2025-12,0.75,1.19,0.637
2026-01,0.75,1.35,0.619
2026-02,0.75,1.59,0.774
2026-03,0.75,1.66,0.805
2026-04,0.75,1.58,0.878
2026-05,0.75,1.79,0.962
2026-06,1.0,1.89,0.944
2026-07,1.0,1.86,1.239
2026-08,1.0,1.95,
2026-09,1.0,2.06,
2026-10,1.0,2.24,
