month,yoy_change_pct
1999-04,3.38
1999-05,3.05
1999-06,2.62
1999-07,2.26
1999-08,1.97
1999-09,1.71
1999-10,1.50
1999-11,1.11
1999-12,0.50
2000-01,0.23
2000-02,-0.08
2000-03,-0.14
2000-04,0.04
2000-05,0.12
2000-06,-0.00
2000-07,-0.35
2000-08,-0.17
2000-09,-0.10
2000-10,0.13
2000-11,0.37
2000-12,0.47
2001-01,0.74
2001-02,0.95
2001-03,1.00
2001-04,0.82
2001-05,0.73
2001-06,0.62
2001-07,0.81
2001-08,0.79
2001-09,0.59
2001-10,0.35
2001-11,0.00
2001-12,-0.93
2002-01,-2.04
2002-02,-3.31
2002-03,-6.97
2002-04,-7.82
2002-05,-7.79
2002-06,-7.74
2002-07,-7.87
2002-08,-7.81
2002-09,-7.63
2002-10,-7.57
2002-11,-7.52
2002-12,-7.13
2003-01,-6.22
2003-02,-5.15
2003-03,-1.51
2003-04,-0.53
2003-05,-0.60
2003-06,-0.76
2003-07,-0.86
2003-08,-1.03
2003-09,-1.40
2003-10,-1.54
2003-11,-1.61
2003-12,-2.14
2004-01,-2.23
2004-02,-2.14
2004-03,-2.21
2004-04,-2.22
2004-05,-2.12
2004-06,-2.26
2004-07,-2.37
2004-08,-2.33
2004-09,-2.31
2004-10,-2.14
2004-11,-2.08
2004-12,-2.09
2005-01,-1.93
2005-02,-1.76
2005-03,-2.00
2005-04,-2.03
2005-05,-2.09
2005-06,-2.15
2005-07,-2.22
2005-08,-2.23
2005-09,-2.28
2005-10,-2.38
2005-11,-2.34
2005-12,-2.61
2006-01,-2.91
2006-02,-3.21
2006-03,-3.18
2006-04,-3.05
2006-05,-2.94
2006-06,-2.81
2006-07,-2.53
2006-08,-1.63
2006-09,-1.04
2006-10,-0.40
2006-11,0.01
2006-12,0.78
2007-01,1.17
2007-02,1.35
2007-03,2.17
2007-04,2.82
2007-05,3.41
2007-06,3.76
2007-07,3.96
2007-08,3.48
2007-09,3.48
2007-10,3.64
2007-11,3.71
2007-12,4.29
2008-01,5.03
2008-02,5.62
2008-03,5.56
2008-04,5.69
2008-05,5.57
2008-06,5.83
2008-07,6.02
2008-08,6.00
2008-09,5.91
2008-10,5.58
2008-11,5.63
2008-12,5.63
2009-01,5.15
2009-02,4.95
2009-03,4.92
2009-04,4.89
2009-05,4.89
2009-06,4.84
2009-07,4.58
2009-08,4.43
2009-09,4.38
2009-10,4.18
2009-11,3.72
2009-12,3.19
2010-01,2.94
2010-02,2.64
2010-03,2.36
2010-04,1.89
2010-05,1.44
2010-06,1.08
2010-07,0.63
2010-08,0.44
2010-09,0.16
2010-10,0.03
2010-11,-0.05
2010-12,-0.36
2011-01,-0.45
2011-02,-0.47
2011-03,-0.64
2011-04,-0.32
2011-05,-0.10
2011-06,-0.00
2011-07,0.10
2011-08,-0.02
