date,cofer,ar_cofer,cer,cer_alt_rule
1980-12-31,,67.3,63.1,62.6
1981-12-31,,70.4,64.2,63.2
1982-12-31,,69.6,62.0,60.5
1983-12-31,,70.4,61.2,59.3
1984-12-31,,69.5,57.5,55.3
1985-12-31,,64.9,57.2,56.0
1986-12-31,,66.5,63.5,63.1
1987-12-31,,66.2,67.6,67.8
1988-12-31,,63.8,63.5,63.4
1989-12-31,,60.5,60.0,59.9
1990-12-31,,58.9,60.8,61.3
1991-12-31,,59.5,61.8,62.2
1992-12-31,,64.4,65.3,65.6
1993-12-31,,64.0,64.5,64.6
1994-12-31,,63.4,66.0,66.6
1995-12-31,59.0,63.2,66.3,67.4
1996-12-31,62.0,65.7,67.6,68.2
1997-12-31,65.1,66.8,66.7,66.7
1998-12-31,69.3,66.3,67.3,67.7
1999-12-31,71.0,67.7,67.5,67.4
2000-12-31,69.7,69.7,67.8,67.6
2001-12-31,70.8,70.8,67.2,67.0
2002-12-31,64.9,64.9,64.2,64.2
2003-12-31,63.5,63.5,66.5,66.7
2004-12-31,63.3,63.3,67.7,68.1
2005-12-31,64.9,64.9,66.3,66.5
2006-12-31,63.7,63.7,67.1,67.5
2007-12-31,62.6,62.6,67.8,68.5
2008-12-31,62.9,62.9,66.7,67.2
2009-12-31,62.2,62.2,66.6,67.3
2010-12-31,61.9,61.9,65.4,66.1
2011-12-31,62.5,62.5,65.6,66.3
2012-12-31,61.8,61.9,65.9,66.4
2013-12-31,61.7,61.7,65.9,66.4
2014-12-31,62.7,62.7,64.5,64.7
2015-12-31,64.2,64.2,64.1,64.1
2016-12-31,64.7,64.7,63.7,63.7
2017-12-31,62.7,62.7,64.2,64.3
2018-12-31,62.1,62.1,62.6,62.7
2019-12-31,61.3,61.3,61.9,62.0
2020-12-31,59.5,59.5,61.7,61.9
2021-12-31,59.4,59.4,60.2,60.2
2022-12-31,59.0,59.0,58.0,57.9
2023-12-31,59.0,59.0,58.5,58.4
2024-12-31,58.4,58.4,56.6,56.3
2025-12-31,56.4,56.4,56.4,56.4
