date,cofer,cer,cer_alt_rule
1980-12-31,,,
1981-12-31,,,
1982-12-31,,,
1983-12-31,,,
1984-12-31,,,
1985-12-31,,,
1986-12-31,,,
1987-12-31,,,
1988-12-31,,,
1989-12-31,,,
1990-12-31,,,
1991-12-31,,,
1992-12-31,,,
1993-12-31,,,
1994-12-31,,,
1995-12-31,,,
1996-12-31,,,
1997-12-31,,,
1998-12-31,,,
1999-12-31,17.9,,
2000-12-31,17.5,21.5,21.5
2001-12-31,18.4,23.3,23.2
2002-12-31,22.9,25.4,25.4
2003-12-31,23.1,22.5,22.6
2004-12-31,23.1,21.3,21.5
2005-12-31,21.9,22.3,22.3
2006-12-31,22.6,21.3,21.4
2007-12-31,23.3,20.2,20.4
2008-12-31,23.4,21.0,21.2
2009-12-31,24.0,21.0,21.2
2010-12-31,22.9,21.3,21.5
2011-12-31,21.7,20.7,20.9
2012-12-31,21.4,20.4,20.5
2013-12-31,21.5,19.5,19.7
2014-12-31,20.5,20.4,20.5
2015-12-31,19.4,20.9,20.9
2016-12-31,18.9,20.8,20.8
2017-12-31,19.8,19.9,19.9
2018-12-31,20.0,20.7,20.8
2019-12-31,19.8,20.9,20.9
2020-12-31,20.6,20.4,20.5
2021-12-31,19.8,20.8,20.9
2022-12-31,19.7,21.4,21.3
2023-12-31,19.2,20.2,20.2
2024-12-31,18.9,20.7,20.6
2025-12-31,20.4,20.4,20.4
