date,cofer,ar_cofer,cer,cer_alt_rule
1980-12-31,,3.2,1.7,1.7
1981-12-31,,2.3,1.5,1.5
1982-12-31,,2.6,1.9,1.9
1983-12-31,,2.8,2.3,2.2
1984-12-31,,3.1,3.0,2.9
1985-12-31,,3.2,2.6,2.6
1986-12-31,,2.9,2.5,2.5
1987-12-31,,2.8,2.1,2.1
1988-12-31,,3.2,2.4,2.4
1989-12-31,,3.2,2.6,2.6
1990-12-31,,3.2,2.3,2.4
1991-12-31,,3.6,2.7,2.7
1992-12-31,,3.2,2.9,2.9
1993-12-31,,3.1,2.8,2.8
1994-12-31,,3.5,3.1,3.2
1995-12-31,2.1,3.4,3.1,3.1
1996-12-31,2.7,3.6,2.9,2.9
1997-12-31,2.6,3.8,3.1,3.1
1998-12-31,2.7,4.1,3.4,3.4
1999-12-31,2.9,4.1,3.4,3.4
2000-12-31,3.4,3.4,3.0,3.0
2001-12-31,3.1,3.1,2.8,2.7
2002-12-31,3.7,3.7,3.0,3.0
2003-12-31,3.9,3.9,3.0,3.1
2004-12-31,4.6,4.6,3.4,3.4
2005-12-31,4.7,4.8,3.8,3.8
2006-12-31,5.3,5.3,3.8,3.9
2007-12-31,5.7,5.7,4.1,4.2
2008-12-31,4.9,4.9,4.8,4.8
2009-12-31,5.0,5.0,4.4,4.5
2010-12-31,4.8,4.8,4.4,4.4
2011-12-31,4.6,4.6,4.2,4.3
2012-12-31,4.7,4.7,4.2,4.2
2013-12-31,4.8,4.8,4.2,4.2
2014-12-31,4.7,4.7,4.2,4.2
2015-12-31,5.2,5.2,4.7,4.7
2016-12-31,4.7,4.7,5.0,5.0
2017-12-31,4.7,4.7,4.8,4.8
2018-12-31,4.5,4.5,4.8,4.8
2019-12-31,4.7,4.7,4.8,4.8
2020-12-31,4.8,4.8,4.9,4.9
2021-12-31,4.9,4.9,4.9,4.9
2022-12-31,5.0,5.0,5.6,5.5
2023-12-31,4.8,4.8,5.0,5.0
2024-12-31,4.6,4.6,4.8,4.8
2025-12-31,4.4,4.4,4.4,4.4
