date,usd,usd_alt_rule,jpy,jpy_alt_rule,eur,eur_alt_rule
1981-12-31,0.7,0.4,-0.0,-0.1,,
1982-12-31,-2.2,-2.5,0.6,0.6,,
1983-12-31,-0.8,-1.2,0.1,0.0,,
1984-12-31,-3.2,-3.8,1.0,0.9,,
1985-12-31,-0.3,0.6,1.1,1.2,,
1986-12-31,5.9,6.6,-1.4,-1.3,,
1987-12-31,4.3,4.9,-1.9,-1.8,,
1988-12-31,-4.0,-4.3,0.3,0.3,,
1989-12-31,-3.7,-3.8,0.8,0.8,,
1990-12-31,0.8,1.2,0.2,0.3,,
1991-12-31,0.8,0.8,-0.1,-0.0,,
1992-12-31,3.6,3.4,-1.2,-1.2,,
1993-12-31,-0.6,-0.6,-0.8,-0.8,,
1994-12-31,1.4,1.9,-0.5,-0.4,,
1995-12-31,0.6,0.8,-1.0,-1.0,,
1996-12-31,1.3,0.9,-0.2,-0.2,,
1997-12-31,-0.8,-1.5,-0.2,-0.3,,
1998-12-31,0.6,1.0,-0.5,-0.5,,
1999-12-31,1.7,1.3,-0.4,-0.5,,
2000-12-31,-1.6,-2.2,0.3,0.2,,
2001-12-31,-0.3,-0.4,-0.5,-0.5,1.5,1.5
2002-12-31,-2.8,-2.6,-0.1,-0.1,1.9,2.0
2003-12-31,2.1,2.4,0.3,0.3,-3.0,-2.9
2004-12-31,1.3,1.4,-0.6,-0.6,-1.2,-1.2
2005-12-31,-1.3,-1.6,-0.3,-0.4,0.9,0.8
2006-12-31,0.8,1.0,-0.1,-0.1,-1.1,-1.0
2007-12-31,0.8,1.0,-0.5,-0.5,-1.2,-1.1
2008-12-31,-0.9,-1.1,-1.0,-1.0,1.0,0.9
2009-12-31,0.1,0.2,-0.8,-0.8,0.1,0.2
2010-12-31,-1.2,-1.3,0.2,0.2,0.3,0.2
2011-12-31,0.2,0.2,-0.2,-0.2,-0.6,-0.6
2012-12-31,-0.5,-0.5,0.6,0.6,-0.7,-0.6
2013-12-31,-0.2,-0.2,0.6,0.6,-1.0,-1.0
2014-12-31,-1.4,-1.7,0.4,0.3,0.8,0.8
2015-12-31,-0.4,-0.6,-0.3,-0.3,0.5,0.4
2016-12-31,-0.4,-0.5,-0.1,-0.1,-0.1,-0.1
2017-12-31,0.3,0.5,0.8,0.8,-1.0,-0.9
2018-12-31,-1.6,-1.6,0.1,0.1,0.8,0.8
2019-12-31,-0.8,-0.8,0.7,0.7,0.1,0.1
2020-12-31,-0.2,-0.1,0.1,0.1,-0.5,-0.5
2021-12-31,-1.6,-1.7,-0.0,-0.0,0.4,0.4
2022-12-31,-2.2,-2.4,0.5,0.5,0.5,0.5
2023-12-31,0.4,0.4,0.4,0.4,-1.1,-1.1
2024-12-31,-1.9,-2.1,0.6,0.6,0.4,0.4
2025-12-31,-0.1,0.1,0.4,0.4,-0.3,-0.2
