date,cofer,ar_cofer,cer,cer_alt_rule
1980-12-31,,3.5,7.2,7.2
1981-12-31,,2.9,5.9,5.8
1982-12-31,,2.9,6.4,6.3
1983-12-31,,2.6,6.1,5.9
1984-12-31,,2.1,5.7,5.4
1985-12-31,,2.4,5.4,5.3
1986-12-31,,2.1,4.1,4.1
1987-12-31,,2.1,3.5,3.5
1988-12-31,,2.0,3.8,3.8
1989-12-31,,1.8,3.5,3.4
1990-12-31,,1.4,2.4,2.4
1991-12-31,,1.3,2.4,2.4
1992-12-31,,1.1,2.1,2.1
1993-12-31,,1.2,2.3,2.3
1994-12-31,,1.0,1.7,1.7
1995-12-31,0.3,0.9,1.3,1.4
1996-12-31,0.3,0.8,1.3,1.3
1997-12-31,0.3,0.8,1.4,1.4
1998-12-31,0.3,0.8,1.3,1.4
1999-12-31,0.2,0.7,1.4,1.4
2000-12-31,0.3,0.3,0.6,0.6
2001-12-31,0.2,0.2,0.5,0.5
2002-12-31,0.4,0.4,0.7,0.7
2003-12-31,0.2,0.2,0.4,0.4
2004-12-31,0.2,0.2,0.3,0.3
2005-12-31,0.2,0.2,0.4,0.4
2006-12-31,0.2,0.2,0.3,0.3
2007-12-31,0.2,0.2,0.3,0.3
2008-12-31,0.2,0.2,0.3,0.3
2009-12-31,0.2,0.2,0.3,0.3
2010-12-31,0.2,0.2,0.3,0.3
2011-12-31,0.2,0.2,0.3,0.3
2012-12-31,0.3,0.3,0.4,0.4
2013-12-31,0.3,0.3,0.4,0.4
2014-12-31,0.3,0.3,0.4,0.4
2015-12-31,0.3,0.3,0.4,0.4
2016-12-31,0.2,0.2,0.2,0.2
2017-12-31,0.2,0.2,0.2,0.2
2018-12-31,0.1,0.1,0.2,0.2
2019-12-31,0.1,0.1,0.2,0.2
2020-12-31,0.2,0.2,0.2,0.2
2021-12-31,0.2,0.2,0.2,0.2
2022-12-31,0.2,0.2,0.3,0.3
2023-12-31,0.2,0.2,0.2,0.2
2024-12-31,0.2,0.2,0.2,0.2
2025-12-31,0.2,0.2,0.2,0.2
