date,usd,eur,jpy
1980-12-31,67.3,,4.6
1981-12-31,70.4,,4.3
1982-12-31,69.6,,4.7
1983-12-31,70.4,,5.0
1984-12-31,69.5,,5.7
1985-12-31,64.9,,7.9
1986-12-31,66.5,,7.8
1987-12-31,66.2,,7.7
1988-12-31,63.8,,8.0
1989-12-31,60.5,,7.8
1990-12-31,58.9,,8.1
1991-12-31,59.5,,8.7
1992-12-31,64.4,,7.8
1993-12-31,64.0,,7.9
1994-12-31,63.4,,8.1
1995-12-31,63.2,,6.7
1996-12-31,65.7,,5.8
1997-12-31,66.8,,5.2
1998-12-31,66.3,,5.3
1999-12-31,67.7,,5.4
2000-12-31,69.7,17.5,6.6
2001-12-31,70.8,18.4,5.4
2002-12-31,64.9,22.9,5.6
2003-12-31,63.5,23.1,6.1
2004-12-31,63.3,23.1,5.7
2005-12-31,64.9,21.9,4.8
2006-12-31,63.7,22.6,4.5
2007-12-31,62.6,23.3,4.2
2008-12-31,62.9,23.4,4.3
2009-12-31,62.2,24.1,3.4
2010-12-31,61.9,22.9,4.1
2011-12-31,62.5,21.7,4.1
2012-12-31,61.9,21.5,4.3
2013-12-31,61.7,21.5,4.1
2014-12-31,62.7,20.5,4.1
2015-12-31,64.2,19.4,3.9
2016-12-31,64.7,18.9,4.0
2017-12-31,62.7,19.8,4.8
2018-12-31,62.1,20.0,5.1
2019-12-31,61.3,19.8,5.8
2020-12-31,59.5,20.6,6.0
2021-12-31,59.4,19.8,5.5
2022-12-31,59.0,19.7,5.4
2023-12-31,59.0,19.2,5.4
2024-12-31,58.4,18.9,5.6
2025-12-31,56.4,20.4,5.8
