date,usd,usd_alt_rule,eur,eur_alt_rule,jpy,jpy_alt_rule
1980-12-31,63.1,62.6,,,5.5,5.5
1981-12-31,64.2,63.2,,,5.5,5.4
1982-12-31,62.0,60.5,,,6.3,6.2
1983-12-31,61.2,59.3,,,6.4,6.2
1984-12-31,57.5,55.3,,,7.6,7.3
1985-12-31,57.2,56.0,,,8.9,8.7
1986-12-31,63.5,63.1,,,7.6,7.5
1987-12-31,67.6,67.8,,,6.1,6.1
1988-12-31,63.5,63.4,,,6.3,6.3
1989-12-31,60.0,59.9,,,7.1,7.1
1990-12-31,60.8,61.3,,,7.3,7.3
1991-12-31,61.8,62.2,,,7.2,7.3
1992-12-31,65.3,65.6,,,6.3,6.3
1993-12-31,64.5,64.6,,,5.7,5.7
1994-12-31,66.0,66.6,,,5.3,5.4
1995-12-31,66.3,67.4,,,4.6,4.7
1996-12-31,67.6,68.2,,,4.5,4.5
1997-12-31,66.7,66.7,,,4.3,4.3
1998-12-31,67.3,67.7,,,3.9,3.9
1999-12-31,67.5,67.4,,,3.5,3.5
2000-12-31,67.8,67.6,21.5,21.5,4.7,4.7
2001-12-31,67.2,67.0,23.3,23.2,4.3,4.3
2002-12-31,64.2,64.2,25.4,25.4,4.2,4.2
2003-12-31,66.5,66.7,22.5,22.6,4.4,4.4
2004-12-31,67.7,68.1,21.3,21.5,4.0,4.0
2005-12-31,66.3,66.5,22.3,22.3,3.7,3.7
2006-12-31,67.1,67.5,21.3,21.4,3.6,3.6
2007-12-31,67.8,68.5,20.2,20.4,3.2,3.3
2008-12-31,66.7,67.2,21.0,21.2,2.6,2.6
2009-12-31,66.6,67.3,21.0,21.2,2.1,2.1
2010-12-31,65.4,66.1,21.3,21.5,2.2,2.3
2011-12-31,65.6,66.3,20.7,20.9,2.1,2.1
2012-12-31,65.9,66.4,20.4,20.5,2.5,2.5
2013-12-31,65.9,66.4,19.5,19.7,2.9,3.0
2014-12-31,64.5,64.7,20.4,20.5,3.2,3.2
2015-12-31,64.1,64.1,20.9,20.9,3.0,3.0
2016-12-31,63.7,63.7,20.8,20.8,2.9,2.9
2017-12-31,64.2,64.3,19.9,19.9,3.5,3.5
2018-12-31,62.6,62.7,20.7,20.8,3.6,3.6
2019-12-31,61.9,62.0,20.9,20.9,4.1,4.1
2020-12-31,61.7,61.9,20.4,20.5,4.1,4.1
2021-12-31,60.2,60.2,20.8,20.9,4.1,4.1
2022-12-31,58.0,57.9,21.4,21.3,4.5,4.5
2023-12-31,58.5,58.4,20.2,20.2,4.9,4.9
2024-12-31,56.6,56.3,20.7,20.6,5.5,5.5
2025-12-31,56.4,56.4,20.4,20.4,5.8,5.8
