date,cofer,ar_cofer,cer,cer_alt_rule
1980-12-31,,4.6,5.5,5.5
1981-12-31,,4.3,5.5,5.4
1982-12-31,,4.7,6.3,6.2
1983-12-31,,5.0,6.4,6.2
1984-12-31,,5.7,7.6,7.3
1985-12-31,,7.9,8.9,8.7
1986-12-31,,7.8,7.6,7.5
1987-12-31,,7.7,6.1,6.1
1988-12-31,,8.0,6.3,6.3
1989-12-31,,7.8,7.1,7.1
1990-12-31,,8.1,7.3,7.3
1991-12-31,,8.7,7.2,7.3
1992-12-31,,7.8,6.3,6.3
1993-12-31,,7.9,5.7,5.7
1994-12-31,,8.1,5.3,5.4
1995-12-31,6.8,6.7,4.6,4.7
1996-12-31,6.7,5.8,4.5,4.5
1997-12-31,5.8,5.2,4.3,4.3
1998-12-31,6.2,5.3,3.9,3.9
1999-12-31,6.4,5.4,3.5,3.5
2000-12-31,6.6,6.6,4.7,4.7
2001-12-31,5.4,5.4,4.3,4.3
2002-12-31,5.6,5.6,4.2,4.2
2003-12-31,6.1,6.1,4.4,4.4
2004-12-31,5.7,5.7,4.0,4.0
2005-12-31,4.8,4.8,3.7,3.7
2006-12-31,4.5,4.5,3.6,3.6
2007-12-31,4.2,4.2,3.2,3.3
2008-12-31,4.3,4.3,2.6,2.6
2009-12-31,3.3,3.4,2.1,2.1
2010-12-31,4.1,4.1,2.2,2.3
2011-12-31,4.1,4.1,2.1,2.1
2012-12-31,4.3,4.3,2.5,2.5
2013-12-31,4.1,4.1,2.9,3.0
2014-12-31,4.1,4.1,3.2,3.2
2015-12-31,3.9,3.9,3.0,3.0
2016-12-31,4.0,4.0,2.9,2.9
2017-12-31,4.8,4.8,3.5,3.5
2018-12-31,5.1,5.1,3.6,3.6
2019-12-31,5.8,5.8,4.1,4.1
2020-12-31,6.0,6.0,4.1,4.1
2021-12-31,5.5,5.5,4.1,4.1
2022-12-31,5.4,5.4,4.5,4.5
2023-12-31,5.4,5.4,4.9,4.9
2024-12-31,5.6,5.6,5.5,5.5
2025-12-31,5.8,5.8,5.8,5.8
