YM,Type,Policy_Rate,US_TP10,US_TP10_base,US_TP10_up,US_TP10_down,US_TP10_bp,US_TP10_base_bp,US_TP10_up_bp,US_TP10_down_bp,Yield_2Y,RN_2Y,TP_2Y,Yield_5Y,RN_5Y,TP_5Y,Yield_10Y,RN_10Y,TP_10Y,Yield_20Y,RN_20Y,TP_20Y,Yield_30Y,RN_30Y,TP_30Y,Yield_40Y,RN_40Y,TP_40Y,Fan_hi_10Y,Fan_lo_10Y,Fan_hi_TP_10Y,Fan_lo_TP_10Y,Fan_hi_20Y,Fan_lo_20Y,Fan_hi_TP_20Y,Fan_lo_TP_20Y,Fan_hi_30Y,Fan_lo_30Y,Fan_hi_TP_30Y,Fan_lo_TP_30Y,Fan_hi_40Y,Fan_lo_40Y,Fan_hi_TP_40Y,Fan_lo_TP_40Y
2002-07,actual,0.0010,2.4142,,,,241.4,,,,0.0567,0.0521,0.0046,0.4249,0.1704,0.2545,1.3656,0.3032,1.0624,2.1415,0.4517,1.6898,2.3867,0.5106,1.8762,,,,,,,,,,,,,,,,,,,
2002-08,actual,0.0020,2.1847,,,,218.5,,,,0.0409,0.0585,-0.0176,0.3218,0.1750,0.1469,1.1877,0.3042,0.8835,1.9849,0.4499,1.5349,2.2427,0.5084,1.7343,,,,,,,,,,,,,,,,,,,
2002-09,actual,0.0670,2.0388,,,,203.9,,,,0.0717,0.0395,0.0322,0.3711,0.1312,0.2399,1.1909,0.2492,0.9417,1.9728,0.3974,1.5754,2.1555,0.4638,1.6917,,,,,,,,,,,,,,,,,,,
2002-10,actual,0.0020,2.3920,,,,239.2,,,,0.0582,0.0709,-0.0127,0.2870,0.1965,0.0905,0.9945,0.3348,0.6597,1.8075,0.4861,1.3214,2.0798,0.5482,1.5317,,,,,,,,,,,,,,,,,,,
2002-11,actual,0.0020,2.3758,,,,237.6,,,,0.0733,0.0469,0.0264,0.3163,0.1296,0.1867,1.0053,0.2385,0.7668,1.7762,0.3828,1.3934,1.9335,0.4504,1.4832,,,,,,,,,,,,,,,,,,,
2002-12,actual,0.0020,2.2400,,,,224.0,,,,0.0643,0.0507,0.0136,0.3112,0.1495,0.1616,0.9101,0.2724,0.6377,1.6704,0.4255,1.2449,1.8517,0.4964,1.3552,,,,,,,,,,,,,,,,,,,
2003-01,actual,0.0010,2.2088,,,,220.9,,,,0.0578,0.0436,0.0141,0.2835,0.1180,0.1654,0.8085,0.2246,0.5839,1.4130,0.3785,1.0345,1.5288,0.4563,1.0725,,,,,,,,,,,,,,,,,,,
2003-02,actual,0.0010,2.0571,,,,205.7,,,,0.0600,0.0384,0.0216,0.2836,0.1115,0.1720,0.7899,0.2180,0.5718,1.4019,0.3726,1.0293,1.5111,0.4514,1.0597,,,,,,,,,,,,,,,,,,,
2003-03,actual,0.0210,2.1925,,,,219.2,,,,0.0666,0.0309,0.0357,0.2576,0.0944,0.1632,0.6982,0.1971,0.5011,1.2275,0.3533,0.8743,1.3086,0.4351,0.8735,,,,,,,,,,,,,,,,,,,
2003-04,actual,0.0020,2.1515,,,,215.2,,,,0.0560,0.0429,0.0131,0.2474,0.1172,0.1302,0.6056,0.2290,0.3766,0.9983,0.3935,0.6047,1.0928,0.4792,0.6136,,,,,,,,,,,,,,,,,,,
